,TMAX
1881,-0.7
1882,
1883,6.9
1884,8.0
1885,2.8
1886,3.0
1887,6.2
1888,-0.7
1889,1.4
1890,5.4
1891,4.8
1892,7.4
1893,3.1
1894,4.2
1895,6.4
1896,1.3
1897,8.6
1898,8.3
1899,4.5
1900,4.2
1901,6.0
1902,7.8
1903,
1904,4.5
1905,5.5
1906,0.2
1907,0.5
1908,2.1
1909,6.9
1910,-3.0
1911,5.4
1912,2.6
1913,8.8
1914,-1.8
1915,0.5
1916,7.1
1917,6.9
1918,5.5
1919,-2.7
1920,1.9
1921,5.5
1922,-0.7
1923,5.7
1924,8.8
1925,-0.5
1926,-2.7
1927,-1.1
1928,7.3
1929,6.6
1930,6.2
1931,-1.1
1932,0.7
1933,8.2
1934,9.6
1935,6.5
1936,7.8
1937,4.1
1938,7.3
1939,0.1
1940,2.8
1941,-0.4
1942,8.3
1943,7.7
1944,3.0
1945,6.6
1946,3.0
1947,1.3
1948,1.9
1949,4.9
1950,1.8
1951,5.3
1952,0.0
1953,3.4
1954,6.7
1955,3.9
1956,-0.5
1957,10.8
1958,7.2
1959,7.9
1960,-3.4
1961,7.9
1962,10.3
1963,3.4
1964,7.6
1965,6.4
1966,0.3
1967,9.9
1968,
1969,-0.4
1970,-1.9
1971,6.4
1972,1.1
1973,3.4
1974,5.1
1975,1.8
1976,-3.2
1977,5.5
1978,7.4
1979,-1.5
1980,-0.3
1981,2.5
1982,7.7
1983,6.8
1984,9.1
1985,2.3
1986,6.2
1987,4.6
1988,-0.5
1989,7.6
1990,8.6
1991,3.0
1992,4.1
1993,4.3
1994,3.9
1995,-2.8
1996,6.1
1997,6.1
1998,4.8
1999,10.0
2000,9.7
2001,3.3
2002,1.8
2003,4.5
2004,6.4
2005,7.9
2006,6.8
2007,7.7
2008,5.1
2009,4.1
2010,7.5
2011,11.4
2012,5.8
2013,10.0
2014,
2015,
2016,-0.5
2017,2.2
2018,
