,TMAX
1881,1.1
1882,
1883,-1.9
1884,-8.7
1885,3.2
1886,-1.4
1887,0.3
1888,2.8
1889,-5.4
1890,-3.0
1891,4.0
1892,-4.3
1893,-10.7
1894,1.5
1895,1.9
1896,-10.1
1897,-1.3
1898,4.1
1899,-7.3
1900,0.7
1901,-1.6
1902,-3.8
1903,
1904,3.9
1905,2.6
1906,-4.7
1907,-0.4
1908,-4.8
1909,1.8
1910,0.5
1911,-4.2
1912,1.9
1913,3.0
1914,1.9
1915,-12.5
1916,0.5
1917,-10.3
1918,-2.6
1919,2.1
1920,1.0
1921,0.9
1922,-6.1
1923,1.7
1924,-4.3
1925,0.4
1926,1.6
1927,-6.9
1928,-0.8
1929,2.6
1930,4.6
1931,-7.2
1932,4.3
1933,-0.1
1934,-11.1
1935,0.9
1936,1.1
1937,-8.1
1938,1.5
1939,1.4
1940,-1.2
1941,-12.1
1942,-0.9
1943,2.1
1944,-1.4
1945,-9.8
1946,1.3
1947,1.7
1948,2.6
1949,3.0
1950,1.2
1951,4.8
1952,1.7
1953,2.2
1954,0.4
1955,-11.3
1956,-3.2
1957,-0.8
1958,-1.9
1959,-13.6
1960,4.5
1961,4.9
1962,3.6
1963,-0.7
1964,5.1
1965,1.8
1966,-6.6
1967,-6.3
1968,1.4
1969,-1.1
1970,-1.8
1971,1.2
1972,6.0
1973,-11.0
1974,0.9
1975,1.3
1976,1.2
1977,-2.8
1978,-5.2
1979,5.6
1980,-5.7
1981,-0.4
1982,3.9
1983,3.9
1984,1.1
1985,-5.6
1986,4.2
1987,2.2
1988,-1.5
1989,-4.7
1990,-2.6
1991,-8.4
1992,4.6
1993,2.9
1994,1.1
1995,-3.7
1996,2.3
1997,-4.3
1998,-3.3
1999,-1.3
2000,5.5
2001,-7.4
2002,-5.5
2003,0.6
2004,4.4
2005,-1.2
2006,10.9
2007,3.8
2008,1.4
2009,-0.3
2010,-1.8
2011,2.9
2012,-4.0
2013,1.7
2014,
2015,
2016,
2017,-0.3
2018,
