,TMAX
1881,6.5
1882,
1883,9.2
1884,14.6
1885,10.1
1886,10.9
1887,5.8
1888,12.0
1889,18.8
1890,6.9
1891,16.2
1892,8.7
1893,12.6
1894,8.2
1895,17.9
1896,15.7
1897,2.9
1898,10.5
1899,13.6
1900,17.1
1901,13.7
1902,6.1
1903,
1904,11.7
1905,6.8
1906,7.1
1907,14.7
1908,7.8
1909,15.7
1910,7.0
1911,12.9
1912,0.4
1913,8.2
1914,5.4
1915,9.6
1916,5.6
1917,15.0
1918,12.0
1919,12.0
1920,7.7
1921,12.4
1922,5.4
1923,12.9
1924,17.5
1925,7.1
1926,7.5
1927,12.5
1928,8.7
1929,13.4
1930,7.1
1931,9.8
1932,5.9
1933,7.5
1934,16.0
1935,11.0
1936,5.7
1937,10.3
1938,14.8
1939,6.2
1940,9.9
1941,11.4
1942,11.1
1943,11.3
1944,14.4
1945,8.7
1946,7.5
1947,9.6
1948,7.0
1949,9.9
1950,12.9
1951,8.9
1952,5.2
1953,14.4
1954,10.2
1955,13.5
1956,9.4
1957,8.2
1958,13.1
1959,7.6
1960,9.8
1961,12.3
1962,15.0
1963,11.7
1964,12.7
1965,11.0
1966,16.4
1967,14.9
1968,10.4
1969,7.6
1970,5.2
1971,5.2
1972,9.3
1973,12.4
1974,15.5
1975,10.8
1976,9.2
1977,5.7
1978,6.7
1979,8.2
1980,10.0
1981,15.5
1982,11.5
1983,9.0
1984,17.3
1985,15.9
1986,8.6
1987,10.5
1988,14.6
1989,8.5
1990,8.2
1991,10.6
1992,9.3
1993,12.8
1994,11.5
1995,15.1
1996,11.4
1997,9.3
1998,9.2
1999,19.9
2000,15.5
2001,14.8
2002,6.3
2003,12.0
2004,8.6
2005,14.7
2006,14.0
2007,17.0
2008,13.0
2009,10.7
2010,11.9
2011,13.2
2012,12.0
2013,12.2
2014,
2015,
2016,10.2
2017,10.6
2018,
