,TMAX
1881,-5.7
1882,
1883,2.7
1884,-9.0
1885,1.5
1886,1.4
1887,-1.6
1888,-2.3
1889,-4.2
1890,0.4
1891,0.0
1892,-8.0
1893,1.4
1894,-5.7
1895,-7.7
1896,-4.9
1897,-5.7
1898,-13.0
1899,1.1
1900,1.2
1901,-6.5
1902,-3.0
1903,
1904,1.2
1905,1.1
1906,-3.0
1907,-11.3
1908,1.6
1909,2.1
1910,1.6
1911,0.7
1912,-1.6
1913,0.3
1914,1.3
1915,-8.4
1916,2.5
1917,-1.5
1918,1.7
1919,-3.4
1920,-4.0
1921,-4.6
1922,-7.5
1923,1.9
1924,-0.9
1925,-7.9
1926,-6.9
1927,-10.5
1928,-4.8
1929,3.3
1930,-11.9
1931,-4.7
1932,1.5
1933,-9.1
1934,0.0
1935,-6.9
1936,2.8
1937,-5.4
1938,-14.9
1939,-1.3
1940,-4.2
1941,-11.6
1942,-6.7
1943,0.7
1944,-4.7
1945,-10.1
1946,-3.5
1947,-2.4
1948,2.5
1949,0.7
1950,4.3
1951,1.8
1952,1.5
1953,-4.2
1954,1.4
1955,-18.5
1956,3.2
1957,0.9
1958,2.8
1959,-6.8
1960,0.2
1961,-9.3
1962,-2.6
1963,-1.5
1964,2.5
1965,-5.1
1966,-10.6
1967,4.0
1968,-0.3
1969,-5.9
1970,-3.9
1971,-2.9
1972,3.0
1973,-5.2
1974,0.6
1975,3.0
1976,-2.4
1977,1.7
1978,-11.9
1979,-9.6
1980,2.1
1981,-7.5
1982,2.7
1983,-2.6
1984,-4.5
1985,-2.0
1986,-17.6
1987,-3.5
1988,-1.2
1989,-7.0
1990,-0.2
1991,1.0
1992,5.6
1993,-3.4
1994,-6.3
1995,2.8
1996,-3.2
1997,-5.5
1998,4.0
1999,-0.1
2000,4.1
2001,-2.6
2002,-4.3
2003,0.7
2004,3.8
2005,1.9
2006,6.3
2007,2.2
2008,-5.8
2009,-10.6
2010,-5.7
2011,4.6
2012,-9.7
2013,3.0
2014,3.4
2015,2.4
2016,
2017,
2018,
