,TMAX
1881,9.0
1882,
1883,
1884,13.7
1885,12.6
1886,20.7
1887,14.0
1888,11.8
1889,28.6
1890,13.7
1891,23.0
1892,16.0
1893,15.9
1894,10.9
1895,11.1
1896,25.0
1897,24.8
1898,11.5
1899,22.0
1900,17.5
1901,18.7
1902,12.2
1903,21.1
1904,12.8
1905,19.0
1906,15.3
1907,6.5
1908,18.2
1909,14.7
1910,8.2
1911,25.1
1912,22.8
1913,10.2
1914,14.9
1915,14.2
1916,7.5
1917,16.7
1918,5.7
1919,20.9
1920,18.5
1921,25.2
1922,14.1
1923,17.6
1924,16.4
1925,13.4
1926,20.0
1927,14.7
1928,19.0
1929,26.7
1930,22.6
1931,20.4
1932,17.3
1933,11.5
1934,14.7
1935,15.4
1936,22.4
1937,16.5
1938,13.1
1939,19.3
1940,18.3
1941,16.9
1942,21.1
1943,18.2
1944,16.0
1945,14.4
1946,18.5
1947,18.0
1948,21.9
1949,19.2
1950,12.7
1951,16.3
1952,11.9
1953,9.8
1954,18.7
1955,11.1
1956,14.8
1957,10.1
1958,22.8
1959,7.7
1960,23.7
1961,25.3
1962,23.9
1963,20.9
1964,22.5
1965,14.4
1966,27.4
1967,20.4
1968,19.0
1969,14.7
1970,17.6
1971,24.4
1972,14.1
1973,18.7
1974,12.6
1975,10.5
1976,11.6
1977,13.3
1978,18.0
1979,27.6
1980,14.5
1981,20.7
1982,24.3
1983,23.3
1984,21.1
1985,24.9
1986,18.5
1987,3.6
1988,21.6
1989,16.6
1990,9.8
1991,12.4
1992,20.2
1993,11.3
1994,10.5
1995,23.6
1996,19.4
1997,15.5
1998,19.6
1999,15.5
2000,19.8
2001,11.5
2002,16.4
2003,16.0
2004,16.4
2005,15.5
2006,12.2
2007,29.7
2008,19.2
2009,18.2
2010,13.6
2011,19.1
2012,21.1
2013,23.8
2014,
2015,
2016,14.3
2017,17.5
2018,22.5
