,TMAX
1881,-2.6
1882,
1883,-1.7
1884,-2.7
1885,4.1
1886,-2.7
1887,-10.3
1888,-7.5
1889,1.2
1890,-5.0
1891,0.9
1892,-9.1
1893,1.4
1894,-1.8
1895,-7.3
1896,1.2
1897,2.9
1898,2.7
1899,-7.1
1900,-13.7
1901,-11.9
1902,-5.4
1903,
1904,-10.1
1905,-11.5
1906,-6.5
1907,-7.4
1908,-8.4
1909,0.2
1910,-3.9
1911,-5.4
1912,-4.0
1913,-15.5
1914,-7.7
1915,-23.3
1916,-10.6
1917,-2.8
1918,-3.0
1919,-11.1
1920,-3.8
1921,1.5
1922,1.6
1923,-5.1
1924,1.0
1925,-4.7
1926,-8.6
1927,-8.0
1928,-0.7
1929,-3.4
1930,-14.1
1931,-1.0
1932,4.5
1933,-14.4
1934,-5.6
1935,-2.8
1936,-2.6
1937,-4.1
1938,-7.7
1939,-6.4
1940,-10.7
1941,-15.6
1942,1.3
1943,0.4
1944,1.6
1945,-4.8
1946,-3.7
1947,-8.7
1948,0.8
1949,-10.0
1950,-7.9
1951,1.9
1952,-3.6
1953,-3.7
1954,-1.9
1955,1.6
1956,-3.0
1957,4.7
1958,-7.9
1959,1.0
1960,0.0
1961,-9.2
1962,-10.7
1963,-1.3
1964,-11.5
1965,-2.0
1966,-6.6
1967,-4.0
1968,-1.8
1969,-2.0
1970,-5.1
1971,-6.0
1972,1.3
1973,2.6
1974,-0.3
1975,1.9
1976,-5.4
1977,-16.6
1978,-22.2
1979,-0.1
1980,1.6
1981,-1.2
1982,0.7
1983,0.6
1984,-7.0
1985,-5.8
1986,-11.3
1987,-3.5
1988,2.7
1989,0.3
1990,2.4
1991,2.9
1992,2.2
1993,-11.9
1994,0.6
1995,-9.2
1996,-1.6
1997,-2.3
1998,4.4
1999,-2.2
2000,-8.2
2001,-6.2
2002,-14.4
2003,4.2
2004,-0.4
2005,-7.2
2006,-1.0
2007,3.5
2008,0.5
2009,-1.9
2010,-8.4
2011,4.5
2012,-3.1
2013,5.4
2014,-8.3
2015,
2016,
2017,
2018,
