,TMAX
1881,-1.5
1882,
1883,
1884,-1.0
1885,-5.2
1886,0.6
1887,-0.1
1888,-16.2
1889,-9.6
1890,-2.5
1891,2.8
1892,-7.0
1893,-4.8
1894,2.1
1895,-15.7
1896,0.9
1897,-7.7
1898,-10.7
1899,-11.9
1900,-2.4
1901,-2.1
1902,-4.9
1903,
1904,-10.5
1905,2.2
1906,-1.7
1907,-10.8
1908,-5.8
1909,-14.7
1910,0.6
1911,-8.7
1912,-2.0
1913,1.0
1914,4.9
1915,-7.5
1916,1.0
1917,-1.5
1918,-6.0
1919,1.6
1920,0.7
1921,-2.9
1922,-5.1
1923,-11.0
1924,-11.5
1925,2.5
1926,-12.7
1927,0.6
1928,3.2
1929,-21.8
1930,-14.3
1931,-4.2
1932,-13.6
1933,0.5
1934,-7.8
1935,-11.3
1936,-14.5
1937,-9.0
1938,-1.8
1939,1.3
1940,-11.9
1941,0.2
1942,-7.4
1943,-5.9
1944,0.3
1945,0.7
1946,-8.8
1947,-13.6
1948,-11.6
1949,-2.8
1950,2.4
1951,-1.9
1952,-1.1
1953,-10.4
1954,-10.7
1955,-1.6
1956,-16.7
1957,-2.8
1958,-14.3
1959,-1.3
1960,2.5
1961,-1.2
1962,1.1
1963,-6.6
1964,-6.6
1965,-8.4
1966,-17.7
1967,-10.6
1968,-3.9
1969,-13.3
1970,-9.3
1971,-10.2
1972,-3.4
1973,-3.2
1974,-0.3
1975,-1.1
1976,-4.7
1977,-8.4
1978,-11.8
1979,-9.9
1980,-17.6
1981,-1.3
1982,-4.7
1983,-5.8
1984,-1.8
1985,-17.4
1986,-5.8
1987,-7.5
1988,2.7
1989,-1.3
1990,2.6
1991,-4.4
1992,0.7
1993,-0.6
1994,-12.7
1995,-1.2
1996,-17.7
1997,-5.5
1998,3.7
1999,-11.0
2000,1.3
2001,0.9
2002,5.8
2003,-1.0
2004,-5.4
2005,0.6
2006,-6.1
2007,-9.9
2008,3.1
2009,0.5
2010,-7.8
2011,-8.3
2012,-12.3
2013,1.9
2014,
2015,
2016,4.6
2017,-3.7
2018,-2.5
2019,2.9
