,TMAX
1881,2.4
1882,
1883,
1884,4.0
1885,2.7
1886,-2.3
1887,-6.6
1888,-4.0
1889,-3.9
1890,3.4
1891,4.0
1892,2.0
1893,-2.8
1894,1.6
1895,-4.2
1896,3.4
1897,2.9
1898,-6.2
1899,-5.8
1900,3.8
1901,0.9
1902,-4.0
1903,
1904,2.7
1905,1.2
1906,2.8
1907,2.7
1908,0.7
1909,0.2
1910,3.2
1911,-2.1
1912,2.2
1913,4.5
1914,-2.2
1915,-9.2
1916,-2.3
1917,-11.3
1918,-0.1
1919,-13.9
1920,3.7
1921,7.8
1922,-7.1
1923,4.4
1924,-7.5
1925,1.7
1926,-4.8
1927,-4.7
1928,2.6
1929,0.9
1930,1.1
1931,-0.2
1932,-0.5
1933,8.3
1934,3.8
1935,-1.1
1936,2.6
1937,2.6
1938,4.4
1939,-2.1
1940,-4.8
1941,-1.8
1942,-9.1
1943,4.7
1944,1.0
1945,-7.5
1946,-0.1
1947,-2.4
1948,-3.6
1949,-1.0
1950,5.9
1951,-0.9
1952,-7.3
1953,2.7
1954,-4.4
1955,-2.2
1956,3.2
1957,-7.3
1958,-5.3
1959,5.0
1960,2.2
1961,3.7
1962,-3.3
1963,-11.2
1964,-0.7
1965,3.7
1966,-4.4
1967,5.5
1968,2.1
1969,3.3
1970,5.0
1971,2.4
1972,4.2
1973,-1.4
1974,4.0
1975,1.8
1976,-4.9
1977,6.2
1978,-6.1
1979,-6.1
1980,-6.5
1981,2.1
1982,6.0
1983,4.0
1984,-4.2
1985,3.5
1986,8.6
1987,1.6
1988,2.6
1989,4.1
1990,14.2
1991,2.9
1992,7.5
1993,2.5
1994,0.3
1995,5.2
1996,1.3
1997,-4.6
1998,2.7
1999,2.7
2000,4.6
2001,-5.4
2002,12.1
2003,4.6
2004,8.2
2005,-2.9
2006,1.0
2007,7.0
2008,0.4
2009,1.1
2010,1.8
2011,5.0
2012,2.8
2013,-4.2
2014,
2015,13.3
2016,-2.0
2017,
2018,2.0
2019,
