,TMAX
1881,16.5
1882,
1883,
1884,13.6
1885,20.3
1886,19.2
1887,18.0
1888,18.4
1889,18.8
1890,17.6
1891,15.4
1892,18.6
1893,22.6
1894,21.9
1895,18.7
1896,17.4
1897,25.7
1898,18.5
1899,17.0
1900,26.0
1901,19.5
1902,16.7
1903,18.3
1904,16.7
1905,18.3
1906,17.9
1907,17.3
1908,16.1
1909,17.8
1910,18.5
1911,18.5
1912,13.5
1913,23.8
1914,15.5
1915,18.2
1916,21.6
1917,20.8
1918,16.9
1919,18.1
1920,18.3
1921,20.6
1922,20.4
1923,15.9
1924,15.6
1925,15.2
1926,18.8
1927,17.7
1928,22.4
1929,17.2
1930,20.7
1931,24.7
1932,18.8
1933,17.6
1934,22.8
1935,15.5
1936,20.5
1937,25.2
1938,28.7
1939,22.6
1940,18.0
1941,18.7
1942,24.5
1943,18.7
1944,26.4
1945,19.1
1946,21.3
1947,21.7
1948,20.4
1949,14.6
1950,19.8
1951,24.3
1952,20.3
1953,19.0
1954,20.3
1955,25.7
1956,16.1
1957,19.0
1958,13.1
1959,22.4
1960,20.7
1961,18.3
1962,17.4
1963,21.2
1964,19.7
1965,24.6
1966,18.4
1967,19.5
1968,26.3
1969,19.9
1970,23.3
1971,16.7
1972,31.0
1973,14.6
1974,19.1
1975,20.9
1976,13.4
1977,15.5
1978,20.8
1979,21.6
1980,15.7
1981,20.0
1982,16.5
1983,21.9
1984,20.3
1985,18.8
1986,15.8
1987,21.3
1988,22.0
1989,18.5
1990,19.8
1991,19.0
1992,15.1
1993,18.3
1994,18.8
1995,20.0
1996,24.8
1997,24.2
1998,19.0
1999,17.4
2000,19.2
2001,20.0
2002,19.6
2003,21.7
2004,23.9
2005,20.6
2006,24.5
2007,28.3
2008,19.7
2009,20.5
2010,20.4
2011,22.5
2012,19.1
2013,18.6
2014,
2015,24.1
2016,26.7
2017,17.3
2018,18.2
