,TMAX
1881,-3.4
1882,
1883,
1884,-4.0
1885,-4.7
1886,-1.7
1887,-10.6
1888,-14.1
1889,-0.4
1890,3.8
1891,4.5
1892,-2.1
1893,1.8
1894,-3.2
1895,2.9
1896,-5.1
1897,-2.6
1898,-5.0
1899,2.5
1900,2.0
1901,3.1
1902,-9.6
1903,
1904,1.2
1905,3.3
1906,-2.0
1907,-5.0
1908,-8.9
1909,-2.2
1910,3.2
1911,0.6
1912,-1.7
1913,3.3
1914,-4.6
1915,-1.9
1916,-2.5
1917,-9.0
1918,-4.3
1919,1.7
1920,3.4
1921,6.3
1922,-4.5
1923,0.5
1924,-5.7
1925,-4.6
1926,-5.3
1927,0.8
1928,-1.5
1929,3.9
1930,-5.4
1931,-2.0
1932,-3.5
1933,3.1
1934,-3.7
1935,3.7
1936,1.9
1937,3.0
1938,0.3
1939,-0.5
1940,-7.1
1941,-8.2
1942,-18.7
1943,0.8
1944,1.8
1945,2.0
1946,-9.9
1947,-6.1
1948,0.9
1949,1.9
1950,-0.6
1951,-4.4
1952,-1.3
1953,-5.9
1954,-0.1
1955,0.7
1956,1.9
1957,1.5
1958,3.6
1959,4.6
1960,-0.4
1961,2.8
1962,-5.7
1963,-2.7
1964,-6.5
1965,-0.2
1966,-5.2
1967,4.6
1968,1.0
1969,-6.6
1970,1.6
1971,-6.9
1972,4.7
1973,3.5
1974,3.9
1975,3.6
1976,-4.3
1977,5.2
1978,2.3
1979,1.7
1980,2.0
1981,-9.5
1982,4.3
1983,0.6
1984,4.2
1985,1.8
1986,0.6
1987,-3.8
1988,0.9
1989,2.5
1990,-0.9
1991,0.9
1992,3.9
1993,2.7
1994,5.4
1995,1.7
1996,3.3
1997,4.8
1998,-6.7
1999,1.0
2000,1.3
2001,5.7
2002,4.0
2003,2.2
2004,8.3
2005,-8.3
2006,-1.7
2007,7.3
2008,3.8
2009,0.8
2010,-1.5
2011,1.5
2012,2.4
2013,-3.0
2014,
2015,7.9
2016,
2017,
2018,3.4
2019,-0.7
