,TMAX
1881,22.1
1882,
1883,
1884,21.7
1885,26.0
1886,20.1
1887,24.3
1888,23.8
1889,22.0
1890,17.7
1891,23.2
1892,19.7
1893,30.0
1894,13.8
1895,18.4
1896,24.4
1897,25.9
1898,25.7
1899,19.1
1900,21.2
1901,26.9
1902,18.2
1903,20.8
1904,19.9
1905,23.0
1906,21.3
1907,19.7
1908,27.9
1909,17.0
1910,25.4
1911,26.4
1912,25.9
1913,21.5
1914,17.4
1915,20.0
1916,16.2
1917,24.5
1918,18.2
1919,20.9
1920,28.7
1921,17.5
1922,18.4
1923,18.1
1924,24.9
1925,24.7
1926,17.8
1927,27.4
1928,18.0
1929,20.8
1930,21.4
1931,27.5
1932,22.2
1933,20.6
1934,16.8
1935,21.3
1936,22.3
1937,21.7
1938,25.7
1939,26.7
1940,18.0
1941,24.4
1942,15.9
1943,22.9
1944,21.8
1945,17.3
1946,18.9
1947,19.7
1948,21.7
1949,18.4
1950,20.7
1951,20.8
1952,23.0
1953,23.3
1954,19.4
1955,29.6
1956,21.4
1957,24.2
1958,27.4
1959,19.9
1960,22.4
1961,25.2
1962,19.0
1963,27.8
1964,19.7
1965,19.3
1966,23.7
1967,28.2
1968,18.7
1969,24.9
1970,22.1
1971,26.9
1972,25.8
1973,22.6
1974,17.1
1975,26.6
1976,20.6
1977,22.8
1978,24.5
1979,22.2
1980,27.9
1981,23.5
1982,20.0
1983,20.4
1984,23.3
1985,20.9
1986,28.2
1987,21.8
1988,21.0
1989,26.1
1990,18.5
1991,26.3
1992,23.7
1993,21.1
1994,29.7
1995,20.9
1996,19.8
1997,23.8
1998,21.9
1999,23.4
2000,20.7
2001,22.1
2002,28.4
2003,31.2
2004,25.1
2005,23.3
2006,17.3
2007,20.0
2008,21.3
2009,25.6
2010,27.0
2011,21.9
2012,26.7
2013,28.3
2014,
2015,
2016,24.0
2017,
2018,28.9
