,TMAX
1881,14.2
1882,
1883,
1884,17.2
1885,11.8
1886,19.4
1887,16.7
1888,11.7
1889,20.5
1890,15.1
1891,11.7
1892,13.7
1893,15.8
1894,15.0
1895,14.5
1896,17.5
1897,21.1
1898,14.0
1899,7.0
1900,12.9
1901,17.5
1902,14.7
1903,25.7
1904,20.0
1905,16.4
1906,15.7
1907,18.8
1908,11.5
1909,10.8
1910,17.6
1911,22.4
1912,19.3
1913,16.8
1914,15.1
1915,14.4
1916,20.0
1917,23.1
1918,11.1
1919,18.3
1920,13.1
1921,23.2
1922,11.6
1923,9.6
1924,22.1
1925,16.7
1926,22.5
1927,17.6
1928,13.9
1929,13.1
1930,7.9
1931,17.1
1932,20.4
1933,11.4
1934,15.3
1935,11.6
1936,26.6
1937,13.8
1938,20.1
1939,12.2
1940,17.5
1941,13.1
1942,17.2
1943,22.5
1944,15.0
1945,20.9
1946,17.3
1947,11.6
1948,26.8
1949,22.6
1950,16.6
1951,12.9
1952,19.6
1953,28.2
1954,10.9
1955,18.6
1956,21.3
1957,18.6
1958,16.5
1959,18.7
1960,17.5
1961,24.8
1962,14.7
1963,16.2
1964,18.6
1965,14.9
1966,13.8
1967,19.3
1968,15.9
1969,17.1
1970,19.5
1971,23.3
1972,15.4
1973,25.5
1974,16.8
1975,16.0
1976,14.9
1977,15.9
1978,18.3
1979,20.3
1980,25.6
1981,13.7
1982,22.7
1983,26.0
1984,24.1
1985,12.6
1986,21.7
1987,16.0
1988,16.4
1989,22.6
1990,23.5
1991,13.8
1992,18.6
1993,19.6
1994,19.8
1995,29.9
1996,18.9
1997,15.3
1998,14.5
1999,20.1
2000,17.6
2001,19.5
2002,18.3
2003,14.2
2004,16.2
2005,16.5
2006,20.6
2007,22.8
2008,14.8
2009,15.5
2010,18.6
2011,19.6
2012,14.9
2013,29.4
2014,
2015,
2016,
2017,9.5
2018,
