,TMAX
1881,-10.4
1882,
1883,1.7
1884,-10.5
1885,-1.9
1886,3.0
1887,0.9
1888,-3.0
1889,-2.9
1890,-1.8
1891,-4.7
1892,-7.5
1893,2.2
1894,-5.2
1895,-8.5
1896,-2.0
1897,-0.8
1898,-11.0
1899,1.1
1900,1.2
1901,-2.9
1902,-8.2
1903,
1904,2.3
1905,-3.4
1906,-8.0
1907,-11.0
1908,1.0
1909,2.2
1910,2.6
1911,0.0
1912,-3.2
1913,-1.9
1914,1.0
1915,-2.2
1916,0.6
1917,-2.8
1918,2.2
1919,-2.7
1920,-7.7
1921,-3.6
1922,-5.3
1923,0.4
1924,-0.9
1925,-6.0
1926,-8.8
1927,-11.1
1928,-7.2
1929,-0.3
1930,-10.8
1931,-4.7
1932,2.3
1933,-4.5
1934,-0.8
1935,-6.0
1936,2.4
1937,-3.7
1938,-15.0
1939,0.2
1940,0.5
1941,-9.8
1942,-9.5
1943,2.0
1944,-4.1
1945,-7.5
1946,-4.9
1947,-1.7
1948,1.3
1949,1.6
1950,0.9
1951,0.4
1952,0.5
1953,-4.2
1954,1.5
1955,-17.9
1956,6.5
1957,1.9
1958,1.5
1959,-5.8
1960,2.2
1961,0.0
1962,-6.4
1963,-5.9
1964,1.4
1965,-9.5
1966,-10.8
1967,0.0
1968,-4.0
1969,-10.1
1970,-5.2
1971,1.2
1972,2.8
1973,-4.5
1974,-0.3
1975,-0.7
1976,-3.0
1977,2.6
1978,-17.8
1979,0.5
1980,0.5
1981,-10.0
1982,2.2
1983,-2.6
1984,-9.1
1985,-11.0
1986,-11.8
1987,-8.2
1988,2.2
1989,-6.3
1990,0.6
1991,-1.0
1992,4.8
1993,1.3
1994,-11.6
1995,2.8
1996,-6.9
1997,1.2
1998,3.1
1999,-1.0
2000,0.9
2001,-1.0
2002,-9.4
2003,-4.5
2004,3.4
2005,1.1
2006,5.5
2007,2.0
2008,-5.7
2009,-11.6
2010,-9.8
2011,4.7
2012,-9.6
2013,6.2
2014,3.8
2015,
2016,
2017,1.3
2018,
