,TMAX
1881,16.0
1882,
1883,
1884,15.0
1885,15.2
1886,21.5
1887,21.4
1888,17.8
1889,17.6
1890,17.0
1891,16.2
1892,21.8
1893,19.7
1894,18.5
1895,26.7
1896,18.4
1897,17.9
1898,24.0
1899,16.1
1900,26.7
1901,18.5
1902,14.3
1903,20.2
1904,17.3
1905,13.0
1906,12.8
1907,18.3
1908,17.0
1909,16.7
1910,14.9
1911,22.0
1912,15.1
1913,24.6
1914,17.2
1915,18.6
1916,15.1
1917,23.6
1918,16.8
1919,15.7
1920,20.0
1921,15.1
1922,21.9
1923,16.8
1924,17.2
1925,17.0
1926,16.7
1927,19.2
1928,16.9
1929,18.2
1930,17.8
1931,20.4
1932,15.6
1933,17.5
1934,25.7
1935,13.1
1936,20.0
1937,21.8
1938,22.9
1939,27.5
1940,22.3
1941,20.6
1942,23.6
1943,24.7
1944,20.7
1945,20.8
1946,21.2
1947,22.0
1948,18.9
1949,15.4
1950,14.1
1951,23.8
1952,17.5
1953,20.9
1954,22.2
1955,21.5
1956,18.5
1957,17.2
1958,16.6
1959,26.7
1960,22.6
1961,15.8
1962,16.5
1963,22.0
1964,17.2
1965,25.8
1966,15.9
1967,17.9
1968,26.3
1969,22.3
1970,15.6
1971,17.0
1972,25.1
1973,13.1
1974,18.9
1975,25.0
1976,15.5
1977,17.8
1978,20.6
1979,19.4
1980,15.1
1981,16.5
1982,20.7
1983,18.5
1984,18.5
1985,18.3
1986,13.4
1987,19.4
1988,24.9
1989,17.9
1990,16.2
1991,23.0
1992,14.4
1993,14.6
1994,19.5
1995,26.2
1996,20.6
1997,23.4
1998,17.3
1999,19.3
2000,17.5
2001,19.9
2002,22.5
2003,21.0
2004,16.8
2005,25.2
2006,21.2
2007,21.8
2008,19.6
2009,18.6
2010,17.9
2011,19.2
2012,19.3
2013,19.9
2014,
2015,25.2
2016,
2017,
2018,
