,TMAX
1881,-15.0
1882,
1883,
1884,-1.5
1885,-2.5
1886,-12.2
1887,2.2
1888,-7.9
1889,-18.4
1890,1.6
1891,0.0
1892,-0.8
1893,-18.4
1894,0.5
1895,-20.0
1896,-2.6
1897,-17.1
1898,-6.1
1899,-2.1
1900,1.2
1901,-4.1
1902,-14.8
1903,
1904,-7.7
1905,-7.5
1906,1.1
1907,-7.0
1908,-4.2
1909,-9.0
1910,-3.3
1911,-9.8
1912,-15.2
1913,0.4
1914,2.5
1915,-9.7
1916,-0.6
1917,-17.4
1918,-0.9
1919,-3.9
1920,1.8
1921,-13.8
1922,-16.1
1923,-12.8
1924,-4.9
1925,1.1
1926,-16.3
1927,0.4
1928,-9.1
1929,-24.0
1930,-8.8
1931,-15.7
1932,-11.4
1933,-1.1
1934,-0.1
1935,-1.8
1936,1.9
1937,0.3
1938,1.7
1939,-5.4
1940,-11.0
1941,-13.7
1942,-12.1
1943,-4.5
1944,-1.0
1945,-5.8
1946,0.8
1947,-16.1
1948,-0.9
1949,-1.1
1950,-5.2
1951,-9.5
1952,1.4
1953,-19.9
1954,-3.0
1955,1.7
1956,-24.7
1957,2.0
1958,-6.6
1959,2.9
1960,-9.0
1961,0.3
1962,1.3
1963,2.3
1964,1.9
1965,-11.8
1966,-18.0
1967,-7.1
1968,1.1
1969,-15.0
1970,-4.2
1971,1.3
1972,-9.3
1973,0.9
1974,2.0
1975,3.4
1976,-18.7
1977,-2.2
1978,-10.4
1979,-2.5
1980,-6.1
1981,2.0
1982,-2.5
1983,-8.3
1984,-2.5
1985,-13.4
1986,-10.8
1987,1.4
1988,2.2
1989,3.9
1990,2.7
1991,-5.4
1992,0.3
1993,2.2
1994,-13.0
1995,2.3
1996,-11.2
1997,0.6
1998,-14.6
1999,0.1
2000,1.2
2001,-14.8
2002,4.8
2003,-8.7
2004,3.2
2005,-4.3
2006,-15.1
2007,-7.1
2008,2.0
2009,-4.8
2010,-1.6
2011,1.0
2012,-17.0
2013,-2.5
2014,
2015,
2016,
2017,
2018,-5.3
2019,-0.1
