,TMAX
1881,2.8
1882,
1883,4.3
1884,-8.2
1885,-4.0
1886,1.0
1887,-7.8
1888,2.0
1889,5.4
1890,-16.2
1891,-7.2
1892,-0.8
1893,2.0
1894,2.3
1895,1.8
1896,0.9
1897,-2.0
1898,0.5
1899,-6.0
1900,-1.2
1901,-4.0
1902,1.2
1903,
1904,1.7
1905,3.4
1906,4.7
1907,-6.1
1908,-8.1
1909,-3.0
1910,-0.9
1911,-0.8
1912,3.2
1913,3.0
1914,1.1
1915,1.6
1916,3.2
1917,1.5
1918,4.6
1919,1.6
1920,2.5
1921,-0.1
1922,3.6
1923,3.4
1924,6.2
1925,-4.3
1926,6.2
1927,-6.7
1928,0.7
1929,-2.2
1930,0.7
1931,-4.0
1932,3.3
1933,-3.4
1934,2.3
1935,-3.9
1936,2.5
1937,2.5
1938,7.3
1939,-3.5
1940,4.4
1941,-4.0
1942,-1.3
1943,3.0
1944,-2.0
1945,1.5
1946,3.2
1947,-3.5
1948,-2.8
1949,-3.0
1950,-1.4
1951,5.4
1952,-1.8
1953,-3.5
1954,-8.7
1955,-3.5
1956,-0.7
1957,0.8
1958,4.9
1959,-4.3
1960,-1.6
1961,2.4
1962,2.8
1963,-2.9
1964,-5.8
1965,-6.8
1966,2.0
1967,0.7
1968,1.4
1969,4.6
1970,-2.5
1971,-5.6
1972,-2.4
1973,0.2
1974,2.3
1975,-3.8
1976,-1.6
1977,3.1
1978,1.5
1979,7.6
1980,5.5
1981,2.8
1982,7.7
1983,-5.5
1984,-1.4
1985,-0.5
1986,3.9
1987,-8.1
1988,2.1
1989,-5.2
1990,-2.7
1991,5.6
1992,-7.0
1993,-6.3
1994,8.4
1995,4.8
1996,3.5
1997,0.7
1998,-1.5
1999,0.2
2000,2.0
2001,-4.0
2002,-3.8
2003,3.3
2004,-6.4
2005,2.0
2006,6.5
2007,2.8
2008,1.0
2009,7.2
2010,-2.8
2011,5.9
2012,6.3
2013,4.3
2014,0.0
2015,0.7
2016,
2017,1.6
2018,3.2
