,TMAX
1881,9.9
1882,
1883,8.9
1884,16.1
1885,12.6
1886,7.9
1887,6.8
1888,10.5
1889,15.3
1890,2.2
1891,16.5
1892,7.8
1893,14.1
1894,8.7
1895,8.9
1896,10.9
1897,4.4
1898,4.9
1899,5.0
1900,8.2
1901,14.0
1902,6.8
1903,
1904,10.8
1905,7.7
1906,6.0
1907,12.2
1908,10.0
1909,11.7
1910,8.0
1911,12.2
1912,7.8
1913,5.2
1914,7.9
1915,8.3
1916,4.7
1917,9.7
1918,11.0
1919,8.5
1920,12.4
1921,8.9
1922,6.4
1923,13.1
1924,7.4
1925,3.8
1926,6.2
1927,9.1
1928,9.9
1929,12.9
1930,2.3
1931,11.2
1932,7.5
1933,9.5
1934,12.9
1935,16.8
1936,6.3
1937,12.7
1938,13.5
1939,3.9
1940,8.6
1941,8.9
1942,11.5
1943,13.4
1944,11.3
1945,7.1
1946,9.0
1947,9.1
1948,9.6
1949,7.1
1950,12.0
1951,12.4
1952,8.4
1953,3.0
1954,6.4
1955,17.4
1956,8.5
1957,5.4
1958,12.2
1959,8.8
1960,8.0
1961,14.6
1962,13.0
1963,11.7
1964,18.4
1965,10.3
1966,12.5
1967,11.4
1968,5.1
1969,10.7
1970,11.9
1971,10.6
1972,11.1
1973,9.7
1974,12.6
1975,7.7
1976,5.4
1977,3.7
1978,4.8
1979,10.7
1980,10.1
1981,13.4
1982,8.4
1983,9.3
1984,13.4
1985,14.4
1986,6.9
1987,13.6
1988,13.4
1989,8.1
1990,8.0
1991,14.4
1992,10.8
1993,9.6
1994,10.5
1995,13.0
1996,11.9
1997,7.2
1998,10.6
1999,13.5
2000,14.7
2001,10.0
2002,4.2
2003,10.5
2004,12.1
2005,15.8
2006,13.0
2007,12.5
2008,10.7
2009,10.6
2010,11.7
2011,11.6
2012,10.0
2013,12.9
2014,
2015,5.5
2016,7.3
2017,
2018,8.9
