,TMAX
1881,26.8
1882,
1883,
1884,23.9
1885,25.2
1886,21.7
1887,16.5
1888,19.1
1889,24.3
1890,20.8
1891,24.6
1892,18.3
1893,9.9
1894,16.7
1895,22.0
1896,19.5
1897,21.5
1898,23.7
1899,26.0
1900,26.1
1901,10.6
1902,16.9
1903,26.5
1904,19.4
1905,23.7
1906,21.7
1907,26.8
1908,13.8
1909,23.2
1910,21.6
1911,17.2
1912,14.2
1913,26.2
1914,28.7
1915,20.1
1916,22.1
1917,19.7
1918,30.3
1919,25.5
1920,31.1
1921,23.9
1922,21.9
1923,24.4
1924,21.9
1925,25.7
1926,22.2
1927,25.4
1928,16.9
1929,24.4
1930,23.3
1931,23.8
1932,23.1
1933,15.4
1934,19.3
1935,21.0
1936,29.5
1937,20.2
1938,24.0
1939,18.3
1940,25.5
1941,28.8
1942,23.8
1943,15.5
1944,27.5
1945,20.6
1946,19.5
1947,24.5
1948,22.4
1949,26.5
1950,18.8
1951,16.5
1952,24.0
1953,24.2
1954,29.4
1955,17.7
1956,27.0
1957,16.6
1958,23.2
1959,18.9
1960,20.7
1961,20.1
1962,22.6
1963,20.6
1964,19.6
1965,16.1
1966,21.6
1967,23.9
1968,27.4
1969,18.3
1970,22.6
1971,21.5
1972,28.6
1973,29.7
1974,19.6
1975,23.2
1976,14.8
1977,19.6
1978,20.9
1979,19.4
1980,13.9
1981,24.5
1982,23.0
1983,23.0
1984,17.5
1985,19.0
1986,21.4
1987,17.3
1988,29.2
1989,24.2
1990,22.0
1991,22.0
1992,15.7
1993,21.9
1994,20.4
1995,20.6
1996,17.9
1997,27.2
1998,22.4
1999,20.7
2000,20.9
2001,23.8
2002,28.2
2003,24.2
2004,23.3
2005,25.1
2006,25.0
2007,26.8
2008,25.7
2009,14.9
2010,26.2
2011,25.5
2012,25.3
2013,28.1
2014,
2015,
2016,21.3
2017,20.9
2018,
