,TMAX
1881,2.2
1882,
1883,
1884,-11.6
1885,-4.3
1886,-1.3
1887,0.7
1888,0.4
1889,2.0
1890,1.6
1891,-9.1
1892,-9.0
1893,-15.6
1894,-2.8
1895,-5.5
1896,-0.2
1897,-5.6
1898,1.6
1899,-7.4
1900,-6.9
1901,-4.1
1902,1.0
1903,
1904,-2.4
1905,-3.8
1906,-4.3
1907,
1908,-17.2
1909,1.0
1910,-2.2
1911,-9.1
1912,-13.7
1913,1.4
1914,-13.6
1915,-8.8
1916,1.4
1917,-7.4
1918,-20.1
1919,-0.7
1920,-3.5
1921,-8.1
1922,-6.0
1923,0.1
1924,-7.1
1925,1.9
1926,-5.0
1927,1.9
1928,-3.7
1929,-0.4
1930,3.4
1931,-5.3
1932,-6.7
1933,0.6
1934,-6.4
1935,-21.6
1936,3.3
1937,5.0
1938,-12.4
1939,-0.4
1940,-16.9
1941,-1.3
1942,0.7
1943,0.1
1944,-4.8
1945,1.7
1946,1.1
1947,-11.3
1948,-14.3
1949,2.5
1950,-24.5
1951,1.2
1952,-0.2
1953,-7.4
1954,-6.4
1955,-6.5
1956,0.0
1957,-2.5
1958,-14.2
1959,2.4
1960,-0.2
1961,3.4
1962,1.2
1963,-8.0
1964,1.9
1965,-0.5
1966,-10.6
1967,-2.3
1968,-13.7
1969,-13.2
1970,-1.8
1971,-3.5
1972,-5.1
1973,3.4
1974,-0.5
1975,0.3
1976,-10.4
1977,-1.5
1978,-9.0
1979,-12.1
1980,-3.2
1981,-5.2
1982,-15.6
1983,-1.0
1984,1.2
1985,-17.4
1986,-2.7
1987,-22.3
1988,4.7
1989,2.2
1990,0.1
1991,-4.6
1992,2.0
1993,-1.1
1994,-3.1
1995,1.1
1996,-5.2
1997,-9.0
1998,2.6
1999,2.1
2000,2.9
2001,0.6
2002,0.6
2003,-19.6
2004,-4.3
2005,0.3
2006,0.3
2007,4.4
2008,-11.4
2009,-7.8
2010,-4.2
2011,-5.3
2012,3.1
2013,-0.1
2014,
2015,
2016,
2017,
2018,4.4
2019,-3.6
