,TMAX
1881,16.5
1882,
1883,20.1
1884,11.7
1885,11.1
1886,22.6
1887,19.9
1888,19.1
1889,16.0
1890,19.8
1891,17.5
1892,17.1
1893,10.5
1894,14.9
1895,13.9
1896,18.9
1897,16.8
1898,16.5
1899,15.0
1900,17.1
1901,9.4
1902,9.3
1903,16.7
1904,16.2
1905,15.0
1906,13.9
1907,14.9
1908,16.7
1909,18.1
1910,16.5
1911,18.0
1912,21.0
1913,26.0
1914,13.9
1915,15.7
1916,12.5
1917,21.6
1918,18.2
1919,18.0
1920,18.6
1921,14.2
1922,16.8
1923,17.0
1924,16.5
1925,16.4
1926,15.7
1927,17.9
1928,15.6
1929,15.6
1930,16.7
1931,18.5
1932,21.4
1933,16.7
1934,20.0
1935,19.0
1936,15.4
1937,18.1
1938,25.2
1939,13.4
1940,16.7
1941,11.9
1942,20.3
1943,19.8
1944,16.2
1945,15.7
1946,18.6
1947,14.8
1948,18.3
1949,20.7
1950,19.5
1951,26.8
1952,19.3
1953,18.4
1954,17.4
1955,21.1
1956,14.6
1957,16.2
1958,21.1
1959,16.7
1960,17.6
1961,17.5
1962,14.0
1963,28.3
1964,14.6
1965,18.1
1966,15.7
1967,19.0
1968,23.8
1969,16.4
1970,23.3
1971,18.8
1972,14.9
1973,13.8
1974,21.0
1975,18.4
1976,19.4
1977,23.6
1978,25.2
1979,13.9
1980,16.2
1981,17.2
1982,17.4
1983,19.2
1984,13.6
1985,22.2
1986,17.2
1987,11.3
1988,19.6
1989,21.7
1990,11.7
1991,22.5
1992,25.9
1993,15.0
1994,18.7
1995,23.3
1996,23.5
1997,15.7
1998,13.5
1999,21.0
2000,19.4
2001,15.0
2002,20.4
2003,11.7
2004,22.9
2005,18.2
2006,21.5
2007,13.7
2008,14.1
2009,22.3
2010,14.0
2011,19.1
2012,16.3
2013,17.8
2014,
2015,20.0
2016,
2017,17.5
2018,22.4
