,TMAX
1881,5.3
1882,
1883,
1884,2.0
1885,0.9
1886,6.4
1887,8.0
1888,0.5
1889,8.3
1890,5.6
1891,4.6
1892,4.1
1893,2.8
1894,-0.9
1895,8.4
1896,9.3
1897,11.1
1898,2.4
1899,5.1
1900,5.9
1901,9.1
1902,5.0
1903,
1904,6.2
1905,1.8
1906,8.3
1907,11.4
1908,2.6
1909,12.1
1910,8.0
1911,5.8
1912,0.9
1913,3.1
1914,4.4
1915,2.4
1916,2.0
1917,9.0
1918,8.7
1919,9.9
1920,6.8
1921,11.4
1922,7.8
1923,5.3
1924,4.0
1925,0.2
1926,2.5
1927,5.4
1928,0.9
1929,2.0
1930,9.9
1931,4.6
1932,7.4
1933,6.2
1934,9.3
1935,10.1
1936,1.6
1937,7.4
1938,9.7
1939,5.2
1940,4.9
1941,1.0
1942,4.3
1943,8.8
1944,14.4
1945,0.3
1946,3.1
1947,8.2
1948,12.9
1949,14.0
1950,7.5
1951,5.6
1952,3.6
1953,9.3
1954,1.6
1955,6.0
1956,8.8
1957,11.6
1958,4.7
1959,9.7
1960,2.8
1961,8.9
1962,4.5
1963,8.2
1964,9.2
1965,3.4
1966,10.4
1967,7.4
1968,3.1
1969,9.1
1970,10.8
1971,11.4
1972,4.1
1973,0.4
1974,5.3
1975,4.3
1976,5.6
1977,2.9
1978,9.2
1979,9.4
1980,9.6
1981,3.5
1982,0.5
1983,9.7
1984,11.9
1985,9.3
1986,9.9
1987,6.7
1988,5.6
1989,9.8
1990,10.2
1991,9.0
1992,4.0
1993,7.6
1994,1.9
1995,9.4
1996,7.4
1997,9.4
1998,7.6
1999,4.8
2000,10.0
2001,4.6
2002,-0.3
2003,3.9
2004,5.1
2005,8.4
2006,3.8
2007,6.5
2008,9.5
2009,6.4
2010,7.1
2011,8.8
2012,11.4
2013,6.0
2014,
2015,6.1
2016,4.6
2017,6.6
2018,9.2
