,TMAX
1881,16.2
1882,
1883,
1884,16.2
1885,16.7
1886,14.6
1887,19.2
1888,15.3
1889,14.6
1890,19.9
1891,10.0
1892,18.3
1893,17.7
1894,16.0
1895,19.2
1896,23.3
1897,18.7
1898,17.5
1899,16.5
1900,11.4
1901,19.7
1902,14.9
1903,13.2
1904,12.0
1905,19.6
1906,15.2
1907,22.0
1908,12.2
1909,12.8
1910,24.3
1911,25.4
1912,13.1
1913,16.5
1914,11.0
1915,16.3
1916,20.3
1917,17.1
1918,13.3
1919,15.2
1920,14.7
1921,22.6
1922,15.5
1923,10.2
1924,12.9
1925,15.5
1926,27.0
1927,15.9
1928,11.4
1929,14.2
1930,17.2
1931,10.6
1932,14.8
1933,14.1
1934,14.0
1935,18.0
1936,19.8
1937,11.0
1938,21.9
1939,13.8
1940,16.5
1941,10.7
1942,15.5
1943,27.6
1944,15.7
1945,19.4
1946,19.4
1947,12.2
1948,27.9
1949,28.6
1950,17.3
1951,18.9
1952,15.4
1953,23.7
1954,15.5
1955,16.7
1956,23.5
1957,17.4
1958,14.8
1959,25.0
1960,21.6
1961,26.3
1962,11.0
1963,16.6
1964,15.4
1965,16.7
1966,16.3
1967,15.0
1968,23.9
1969,16.3
1970,25.2
1971,16.5
1972,21.6
1973,24.4
1974,15.0
1975,14.7
1976,16.8
1977,17.6
1978,20.9
1979,20.0
1980,23.4
1981,18.4
1982,24.1
1983,15.5
1984,23.7
1985,14.4
1986,21.0
1987,18.8
1988,27.3
1989,27.3
1990,19.5
1991,14.7
1992,22.9
1993,13.0
1994,17.1
1995,21.2
1996,16.9
1997,16.9
1998,19.9
1999,20.1
2000,14.4
2001,15.9
2002,19.2
2003,20.5
2004,22.3
2005,18.0
2006,16.9
2007,19.9
2008,22.3
2009,10.0
2010,16.1
2011,22.0
2012,17.4
2013,26.7
2014,
2015,
2016,
2017,14.7
2018,11.0
