,TMAX
1881,6.3
1882,
1883,9.4
1884,15.5
1885,9.3
1886,11.7
1887,7.2
1888,11.1
1889,21.0
1890,12.5
1891,16.7
1892,8.3
1893,16.5
1894,7.0
1895,18.9
1896,17.0
1897,5.1
1898,12.1
1899,16.9
1900,16.0
1901,11.2
1902,7.3
1903,
1904,10.2
1905,7.7
1906,10.5
1907,12.7
1908,8.8
1909,10.0
1910,4.2
1911,12.9
1912,8.1
1913,7.2
1914,6.7
1915,11.3
1916,3.3
1917,16.5
1918,10.5
1919,13.5
1920,5.4
1921,10.9
1922,6.9
1923,9.2
1924,16.5
1925,7.6
1926,11.0
1927,15.3
1928,9.5
1929,14.1
1930,7.8
1931,7.2
1932,10.3
1933,10.2
1934,14.8
1935,20.3
1936,5.3
1937,11.8
1938,16.2
1939,7.5
1940,10.6
1941,11.5
1942,12.9
1943,13.9
1944,14.6
1945,8.7
1946,5.3
1947,8.5
1948,11.0
1949,12.6
1950,15.4
1951,9.3
1952,5.0
1953,12.8
1954,6.8
1955,12.3
1956,11.5
1957,9.0
1958,10.5
1959,6.0
1960,12.1
1961,12.1
1962,16.2
1963,10.8
1964,7.5
1965,12.6
1966,17.0
1967,16.6
1968,8.9
1969,6.8
1970,6.6
1971,9.9
1972,9.5
1973,8.6
1974,16.6
1975,14.2
1976,8.7
1977,6.9
1978,8.5
1979,7.3
1980,9.4
1981,17.2
1982,9.7
1983,7.0
1984,19.0
1985,11.8
1986,12.3
1987,10.9
1988,11.7
1989,6.6
1990,8.3
1991,13.1
1992,9.4
1993,13.8
1994,8.9
1995,12.0
1996,10.2
1997,7.6
1998,9.6
1999,19.0
2000,15.7
2001,14.0
2002,7.4
2003,12.7
2004,9.8
2005,17.5
2006,14.1
2007,14.3
2008,13.3
2009,7.4
2010,11.9
2011,10.3
2012,15.2
2013,11.7
2014,
2015,
2016,13.5
2017,9.7
2018,10.0
