,TMAX
1881,10.6
1882,
1883,
1884,8.2
1885,20.4
1886,25.5
1887,26.5
1888,9.0
1889,16.5
1890,20.4
1891,22.0
1892,16.7
1893,18.6
1894,9.7
1895,22.1
1896,20.9
1897,15.3
1898,21.8
1899,12.6
1900,10.5
1901,15.4
1902,16.0
1903,17.8
1904,5.0
1905,12.3
1906,19.3
1907,20.8
1908,14.7
1909,4.6
1910,13.3
1911,10.3
1912,20.4
1913,14.8
1914,15.4
1915,10.1
1916,7.0
1917,10.9
1918,9.6
1919,13.5
1920,28.0
1921,16.5
1922,14.9
1923,17.7
1924,9.4
1925,10.2
1926,24.5
1927,14.2
1928,10.6
1929,16.5
1930,24.9
1931,11.6
1932,14.8
1933,9.4
1934,14.3
1935,9.9
1936,20.7
1937,23.3
1938,5.1
1939,16.5
1940,19.7
1941,13.0
1942,10.2
1943,17.9
1944,14.9
1945,8.2
1946,12.1
1947,14.8
1948,16.5
1949,23.1
1950,12.0
1951,8.2
1952,8.6
1953,24.4
1954,17.2
1955,9.4
1956,14.1
1957,20.9
1958,14.1
1959,11.4
1960,10.7
1961,9.7
1962,12.6
1963,23.2
1964,13.5
1965,10.4
1966,15.5
1967,17.4
1968,7.0
1969,13.4
1970,14.5
1971,12.8
1972,23.7
1973,23.2
1974,10.7
1975,14.7
1976,16.7
1977,14.3
1978,18.9
1979,22.7
1980,5.3
1981,21.6
1982,15.8
1983,22.0
1984,20.4
1985,9.7
1986,21.4
1987,16.5
1988,25.3
1989,12.2
1990,13.9
1991,16.0
1992,14.5
1993,10.9
1994,8.0
1995,18.7
1996,14.5
1997,6.3
1998,14.7
1999,24.9
2000,23.2
2001,6.9
2002,15.4
2003,19.1
2004,12.2
2005,23.1
2006,18.9
2007,20.9
2008,15.1
2009,19.9
2010,20.0
2011,19.1
2012,21.5
2013,21.8
2014,
2015,
2016,
2017,19.1
2018,26.1
