,TMAX
1881,-10.9
1882,
1883,
1884,-4.0
1885,0.7
1886,-6.1
1887,3.8
1888,-4.5
1889,-14.6
1890,2.1
1891,0.9
1892,-0.3
1893,-19.0
1894,2.1
1895,-7.7
1896,-1.4
1897,-14.2
1898,-1.8
1899,-8.9
1900,-4.8
1901,-2.6
1902,-13.8
1903,
1904,-6.8
1905,-9.0
1906,1.1
1907,-3.5
1908,-2.5
1909,-7.4
1910,-4.9
1911,-5.6
1912,-23.8
1913,-4.1
1914,2.4
1915,-9.4
1916,1.8
1917,-17.6
1918,-0.1
1919,-3.4
1920,2.6
1921,-12.1
1922,-18.1
1923,-6.0
1924,-1.6
1925,0.8
1926,-5.1
1927,-0.4
1928,-9.5
1929,-2.5
1930,-9.9
1931,-14.9
1932,-7.5
1933,1.2
1934,0.0
1935,-0.9
1936,2.8
1937,-0.6
1938,2.3
1939,-0.9
1940,-12.7
1941,-10.5
1942,-11.0
1943,1.5
1944,0.0
1945,-2.2
1946,1.1
1947,-13.8
1948,0.5
1949,2.3
1950,-6.6
1951,-9.9
1952,1.7
1953,-12.0
1954,-3.0
1955,2.4
1956,-7.8
1957,0.7
1958,0.4
1959,2.4
1960,-9.8
1961,1.4
1962,-0.4
1963,1.1
1964,-0.1
1965,-11.3
1966,-21.4
1967,-8.6
1968,2.0
1969,-9.8
1970,-5.4
1971,-1.2
1972,-4.9
1973,0.3
1974,2.3
1975,2.3
1976,-17.8
1977,-2.0
1978,-10.5
1979,-1.5
1980,-2.3
1981,0.8
1982,-1.9
1983,-8.1
1984,-3.0
1985,-10.6
1986,-9.1
1987,0.0
1988,-1.7
1989,4.6
1990,3.8
1991,-2.2
1992,1.0
1993,3.7
1994,-14.6
1995,2.0
1996,-10.7
1997,0.3
1998,-12.5
1999,-5.1
2000,-0.1
2001,-18.2
2002,4.5
2003,-12.6
2004,2.6
2005,-8.2
2006,-16.6
2007,-0.8
2008,1.6
2009,-5.3
2010,-1.4
2011,1.9
2012,-17.4
2013,-2.8
2014,
2015,-0.8
2016,
2017,-0.4
2018,-5.0
2019,
