,TMAX
1881,15.2
1882,
1883,20.4
1884,19.1
1885,12.3
1886,16.0
1887,19.4
1888,18.3
1889,16.0
1890,18.7
1891,13.9
1892,16.0
1893,12.2
1894,13.8
1895,17.4
1896,13.3
1897,16.8
1898,14.7
1899,12.5
1900,12.2
1901,12.6
1902,15.8
1903,18.7
1904,16.3
1905,14.5
1906,13.5
1907,24.7
1908,11.6
1909,19.1
1910,19.8
1911,13.4
1912,15.4
1913,17.1
1914,13.7
1915,16.1
1916,12.5
1917,13.2
1918,13.4
1919,20.5
1920,19.4
1921,11.7
1922,18.2
1923,11.3
1924,20.4
1925,14.3
1926,16.3
1927,14.8
1928,17.5
1929,16.0
1930,9.9
1931,20.0
1932,17.2
1933,12.1
1934,24.9
1935,14.2
1936,18.4
1937,16.7
1938,22.9
1939,15.8
1940,17.3
1941,11.2
1942,22.6
1943,16.4
1944,20.1
1945,14.3
1946,19.7
1947,17.8
1948,18.0
1949,19.4
1950,14.3
1951,20.8
1952,16.9
1953,11.1
1954,18.6
1955,18.9
1956,12.9
1957,17.3
1958,17.0
1959,15.2
1960,17.3
1961,12.6
1962,18.0
1963,21.9
1964,21.2
1965,18.1
1966,19.4
1967,27.5
1968,26.9
1969,14.3
1970,16.1
1971,14.5
1972,15.5
1973,14.7
1974,22.3
1975,19.3
1976,14.3
1977,18.3
1978,14.6
1979,15.4
1980,17.5
1981,15.9
1982,13.6
1983,20.0
1984,13.8
1985,15.3
1986,14.4
1987,16.4
1988,18.2
1989,17.0
1990,14.8
1991,13.3
1992,22.8
1993,14.8
1994,18.1
1995,21.2
1996,14.2
1997,21.1
1998,17.9
1999,23.2
2000,12.5
2001,18.3
2002,24.9
2003,18.1
2004,17.9
2005,17.9
2006,16.7
2007,17.1
2008,17.6
2009,17.2
2010,16.5
2011,21.2
2012,15.7
2013,17.8
2014,
2015,
2016,17.6
2017,13.8
2018,25.9
