,TMAX
1881,3.3
1882,
1883,-0.2
1884,-6.2
1885,-7.5
1886,0.2
1887,2.4
1888,4.0
1889,1.8
1890,-9.4
1891,-9.6
1892,-11.0
1893,0.7
1894,3.3
1895,3.3
1896,3.8
1897,-4.6
1898,-1.7
1899,-3.9
1900,0.9
1901,0.9
1902,-11.7
1903,
1904,1.4
1905,1.7
1906,4.2
1907,-4.3
1908,1.0
1909,-7.1
1910,1.6
1911,1.0
1912,3.1
1913,-2.7
1914,-1.0
1915,-5.1
1916,5.1
1917,-1.1
1918,1.0
1919,3.0
1920,1.3
1921,1.5
1922,-2.8
1923,0.5
1924,6.1
1925,-5.8
1926,1.7
1927,1.2
1928,2.3
1929,2.5
1930,-3.4
1931,-3.1
1932,2.0
1933,-1.9
1934,0.0
1935,-4.4
1936,-0.7
1937,-0.6
1938,5.6
1939,-4.7
1940,5.9
1941,-3.2
1942,3.7
1943,2.1
1944,3.6
1945,1.2
1946,3.3
1947,0.7
1948,-1.0
1949,-3.4
1950,1.7
1951,4.6
1952,-0.3
1953,1.5
1954,-5.4
1955,-8.8
1956,-1.5
1957,-3.6
1958,3.5
1959,-10.2
1960,1.7
1961,3.0
1962,3.8
1963,-5.6
1964,-4.4
1965,-8.1
1966,1.5
1967,-0.2
1968,2.0
1969,-0.1
1970,3.3
1971,-1.6
1972,-3.5
1973,-5.0
1974,-1.3
1975,-1.2
1976,-4.4
1977,1.3
1978,0.5
1979,4.6
1980,-4.0
1981,1.8
1982,5.6
1983,2.7
1984,-2.9
1985,-1.0
1986,9.6
1987,2.7
1988,0.3
1989,-4.6
1990,1.4
1991,6.5
1992,-3.3
1993,-2.2
1994,-2.8
1995,1.1
1996,2.2
1997,0.6
1998,-0.6
1999,1.0
2000,-3.1
2001,1.0
2002,2.4
2003,-0.4
2004,-2.4
2005,0.8
2006,8.6
2007,2.1
2008,0.1
2009,7.9
2010,-7.5
2011,7.1
2012,3.5
2013,-1.5
2014,-0.6
2015,
2016,
2017,4.6
2018,0.5
