,TMAX
1881,18.5
1882,
1883,
1884,20.4
1885,22.3
1886,19.9
1887,17.5
1888,22.1
1889,26.2
1890,25.0
1891,18.0
1892,17.4
1893,22.6
1894,17.9
1895,19.1
1896,16.8
1897,19.9
1898,19.3
1899,22.7
1900,22.0
1901,18.4
1902,18.6
1903,23.6
1904,17.4
1905,20.0
1906,20.7
1907,24.5
1908,15.4
1909,23.7
1910,26.6
1911,23.6
1912,17.7
1913,21.7
1914,29.2
1915,22.6
1916,26.8
1917,13.3
1918,23.7
1919,21.5
1920,18.2
1921,19.0
1922,28.1
1923,23.4
1924,18.6
1925,29.2
1926,20.3
1927,25.6
1928,18.6
1929,23.5
1930,23.3
1931,27.6
1932,20.7
1933,26.6
1934,19.4
1935,15.4
1936,25.5
1937,20.3
1938,19.8
1939,23.1
1940,21.4
1941,23.4
1942,27.6
1943,18.5
1944,25.3
1945,25.5
1946,24.9
1947,18.7
1948,19.6
1949,24.7
1950,16.3
1951,17.7
1952,18.8
1953,16.9
1954,22.3
1955,26.1
1956,25.3
1957,18.5
1958,16.5
1959,19.4
1960,22.6
1961,18.9
1962,20.6
1963,16.9
1964,19.1
1965,16.0
1966,21.3
1967,15.5
1968,23.4
1969,23.0
1970,18.3
1971,21.1
1972,31.2
1973,26.1
1974,19.6
1975,21.8
1976,10.5
1977,20.4
1978,25.8
1979,19.9
1980,22.5
1981,22.0
1982,17.1
1983,22.9
1984,19.0
1985,22.7
1986,24.5
1987,22.5
1988,17.8
1989,22.7
1990,25.7
1991,22.7
1992,16.2
1993,16.9
1994,23.3
1995,19.9
1996,24.7
1997,27.7
1998,24.3
1999,28.2
2000,23.3
2001,26.6
2002,24.5
2003,21.3
2004,20.4
2005,20.5
2006,29.8
2007,21.3
2008,18.7
2009,19.5
2010,31.4
2011,26.3
2012,27.4
2013,22.6
2014,
2015,
2016,
2017,16.1
2018,21.7
