,TMAX
1881,11.6
1882,
1883,
1884,16.4
1885,17.7
1886,17.1
1887,8.5
1888,18.2
1889,27.1
1890,13.1
1891,20.5
1892,12.0
1893,17.0
1894,14.3
1895,12.5
1896,12.4
1897,25.0
1898,20.5
1899,13.0
1900,21.2
1901,13.9
1902,20.7
1903,25.3
1904,11.4
1905,18.5
1906,17.2
1907,6.9
1908,20.0
1909,17.7
1910,12.3
1911,14.2
1912,16.3
1913,17.5
1914,18.5
1915,16.3
1916,9.7
1917,21.5
1918,14.1
1919,20.4
1920,26.2
1921,22.1
1922,10.9
1923,10.4
1924,25.4
1925,17.3
1926,21.5
1927,10.1
1928,12.9
1929,11.6
1930,9.4
1931,12.7
1932,20.2
1933,18.0
1934,14.3
1935,6.6
1936,20.7
1937,17.7
1938,20.9
1939,19.7
1940,20.8
1941,9.7
1942,24.5
1943,17.1
1944,15.0
1945,23.6
1946,19.1
1947,12.3
1948,24.3
1949,17.7
1950,13.4
1951,14.1
1952,14.9
1953,18.4
1954,19.4
1955,14.0
1956,15.0
1957,15.8
1958,15.9
1959,16.9
1960,24.8
1961,27.7
1962,13.8
1963,16.6
1964,19.2
1965,11.3
1966,7.0
1967,21.5
1968,19.6
1969,17.6
1970,21.5
1971,21.1
1972,16.0
1973,20.6
1974,12.4
1975,10.0
1976,13.0
1977,12.6
1978,19.1
1979,22.1
1980,22.8
1981,15.8
1982,17.5
1983,19.8
1984,25.2
1985,25.8
1986,20.7
1987,16.6
1988,22.9
1989,24.6
1990,16.0
1991,16.0
1992,25.0
1993,20.9
1994,16.3
1995,29.5
1996,15.5
1997,19.5
1998,15.4
1999,11.9
2000,15.2
2001,12.8
2002,22.6
2003,15.1
2004,12.4
2005,17.4
2006,19.8
2007,19.4
2008,17.9
2009,24.9
2010,18.9
2011,24.5
2012,13.5
2013,24.5
2014,
2015,
2016,
2017,
2018,15.3
