,TMAX
1881,27.3
1882,
1883,
1884,25.9
1885,30.5
1886,14.0
1887,18.4
1888,12.1
1889,25.1
1890,21.3
1891,23.3
1892,18.3
1893,22.9
1894,20.2
1895,21.6
1896,29.3
1897,20.1
1898,21.0
1899,26.9
1900,26.0
1901,18.7
1902,21.4
1903,19.3
1904,17.0
1905,18.3
1906,18.5
1907,29.9
1908,11.5
1909,17.5
1910,22.0
1911,25.3
1912,17.8
1913,26.9
1914,21.4
1915,23.1
1916,23.8
1917,21.3
1918,29.4
1919,17.5
1920,25.2
1921,18.0
1922,18.5
1923,17.7
1924,17.2
1925,12.1
1926,23.3
1927,22.3
1928,18.1
1929,24.0
1930,19.5
1931,20.3
1932,18.5
1933,19.5
1934,21.0
1935,20.3
1936,20.8
1937,28.3
1938,18.4
1939,25.5
1940,20.4
1941,22.5
1942,20.2
1943,14.3
1944,25.3
1945,23.7
1946,19.2
1947,19.9
1948,22.4
1949,23.0
1950,21.3
1951,17.4
1952,21.2
1953,23.7
1954,19.3
1955,22.4
1956,18.6
1957,17.9
1958,25.4
1959,21.6
1960,25.6
1961,18.0
1962,16.1
1963,19.7
1964,19.3
1965,16.4
1966,20.0
1967,18.4
1968,17.9
1969,14.9
1970,28.1
1971,22.6
1972,30.4
1973,24.0
1974,22.3
1975,22.9
1976,20.0
1977,21.6
1978,22.2
1979,18.9
1980,18.8
1981,21.8
1982,19.0
1983,24.3
1984,15.9
1985,16.1
1986,18.7
1987,22.0
1988,27.1
1989,20.0
1990,21.3
1991,20.0
1992,23.5
1993,15.5
1994,20.7
1995,14.0
1996,20.0
1997,26.6
1998,21.1
1999,27.0
2000,22.0
2001,27.3
2002,17.6
2003,20.9
2004,20.4
2005,20.1
2006,21.5
2007,22.8
2008,25.0
2009,23.4
2010,26.8
2011,30.9
2012,20.9
2013,19.7
2014,
2015,
2016,
2017,15.5
2018,
