,TMAX
1881,11.4
1882,
1883,8.9
1884,15.0
1885,7.7
1886,10.6
1887,11.5
1888,7.4
1889,10.9
1890,10.5
1891,12.8
1892,18.6
1893,10.0
1894,9.0
1895,12.7
1896,18.0
1897,9.3
1898,9.5
1899,18.7
1900,11.9
1901,16.7
1902,8.8
1903,10.2
1904,13.6
1905,6.4
1906,6.9
1907,12.7
1908,10.0
1909,10.2
1910,9.5
1911,11.9
1912,7.9
1913,13.5
1914,9.8
1915,13.6
1916,7.3
1917,13.5
1918,11.6
1919,8.9
1920,14.0
1921,10.3
1922,8.6
1923,13.2
1924,13.3
1925,12.5
1926,11.1
1927,13.7
1928,4.1
1929,13.9
1930,11.6
1931,6.8
1932,15.1
1933,11.0
1934,10.4
1935,7.5
1936,10.5
1937,15.1
1938,16.3
1939,4.5
1940,8.8
1941,11.3
1942,13.7
1943,9.2
1944,12.3
1945,7.5
1946,9.5
1947,19.5
1948,15.3
1949,15.4
1950,13.0
1951,13.6
1952,8.9
1953,15.2
1954,11.6
1955,13.8
1956,16.9
1957,6.6
1958,10.7
1959,9.4
1960,10.1
1961,15.9
1962,13.9
1963,12.9
1964,11.7
1965,15.2
1966,7.1
1967,12.3
1968,11.7
1969,9.3
1970,8.1
1971,12.5
1972,8.7
1973,9.5
1974,19.8
1975,15.3
1976,6.7
1977,8.0
1978,9.4
1979,10.8
1980,7.7
1981,22.3
1982,9.0
1983,8.2
1984,11.8
1985,8.8
1986,10.6
1987,9.6
1988,17.2
1989,15.0
1990,10.3
1991,13.6
1992,15.4
1993,5.7
1994,12.1
1995,9.6
1996,9.6
1997,7.4
1998,8.7
1999,16.2
2000,16.3
2001,8.6
2002,13.6
2003,13.0
2004,13.6
2005,17.2
2006,16.0
2007,21.7
2008,11.7
2009,10.5
2010,10.4
2011,13.5
2012,13.6
2013,7.8
2014,
2015,
2016,14.4
2017,
2018,
