,TMAX
1881,3.2
1882,
1883,
1884,1.8
1885,3.2
1886,4.2
1887,3.0
1888,2.5
1889,2.1
1890,6.9
1891,-2.2
1892,2.7
1893,-1.9
1894,4.3
1895,-1.9
1896,2.5
1897,-0.2
1898,-1.9
1899,-2.2
1900,-0.6
1901,-5.4
1902,4.7
1903,
1904,8.3
1905,3.0
1906,-1.7
1907,3.0
1908,-4.0
1909,0.8
1910,1.5
1911,-1.7
1912,3.9
1913,6.0
1914,-2.5
1915,-1.5
1916,2.2
1917,3.1
1918,-7.7
1919,-9.9
1920,11.8
1921,4.3
1922,-0.2
1923,1.6
1924,2.5
1925,3.1
1926,-1.1
1927,-1.3
1928,0.4
1929,3.2
1930,2.7
1931,1.1
1932,0.6
1933,4.4
1934,2.9
1935,2.6
1936,-2.5
1937,3.4
1938,13.4
1939,2.0
1940,0.7
1941,-2.3
1942,1.8
1943,6.9
1944,-4.3
1945,3.8
1946,3.3
1947,2.7
1948,1.6
1949,3.0
1950,4.7
1951,2.7
1952,-11.7
1953,-0.7
1954,2.6
1955,0.6
1956,6.7
1957,5.6
1958,0.7
1959,6.4
1960,5.3
1961,3.8
1962,-1.2
1963,-4.4
1964,0.1
1965,1.5
1966,2.6
1967,2.5
1968,9.4
1969,1.1
1970,5.2
1971,3.3
1972,-0.4
1973,13.0
1974,6.1
1975,4.4
1976,3.5
1977,2.7
1978,5.8
1979,4.2
1980,2.6
1981,2.3
1982,5.7
1983,5.8
1984,-2.0
1985,5.3
1986,5.3
1987,3.9
1988,4.3
1989,3.4
1990,4.0
1991,-1.7
1992,4.0
1993,3.5
1994,-1.5
1995,3.7
1996,5.5
1997,-0.7
1998,6.1
1999,4.8
2000,1.6
2001,-1.9
2002,2.0
2003,3.0
2004,1.6
2005,5.5
2006,-1.0
2007,10.5
2008,4.7
2009,-1.9
2010,7.5
2011,-2.8
2012,2.1
2013,0.2
2014,
2015,4.6
2016,
2017,
2018,0.4
2019,-0.3
