,TMAX
1881,6.0
1882,
1883,7.0
1884,1.0
1885,-1.6
1886,4.6
1887,-4.6
1888,2.8
1889,4.0
1890,2.5
1891,-4.8
1892,-1.4
1893,1.0
1894,5.0
1895,5.7
1896,-1.9
1897,4.3
1898,2.3
1899,1.0
1900,-1.7
1901,1.6
1902,-5.7
1903,
1904,-4.3
1905,-2.5
1906,1.5
1907,0.0
1908,3.4
1909,-2.2
1910,2.4
1911,5.9
1912,0.9
1913,1.8
1914,2.6
1915,1.7
1916,-3.3
1917,3.2
1918,4.5
1919,-8.0
1920,9.3
1921,-3.6
1922,2.4
1923,7.9
1924,1.0
1925,1.4
1926,6.7
1927,-2.7
1928,5.4
1929,1.5
1930,3.1
1931,3.4
1932,3.2
1933,-5.5
1934,6.0
1935,6.5
1936,0.7
1937,1.3
1938,6.7
1939,6.8
1940,5.6
1941,0.4
1942,4.6
1943,4.1
1944,-1.4
1945,0.5
1946,-1.8
1947,-1.4
1948,2.7
1949,3.5
1950,6.8
1951,-8.4
1952,-0.3
1953,-1.0
1954,1.0
1955,-1.1
1956,1.6
1957,3.5
1958,5.6
1959,-1.8
1960,-3.5
1961,4.4
1962,2.2
1963,5.0
1964,7.4
1965,-4.2
1966,3.1
1967,6.1
1968,1.2
1969,5.6
1970,4.5
1971,4.3
1972,1.7
1973,-1.1
1974,7.9
1975,4.4
1976,3.1
1977,6.0
1978,7.9
1979,5.0
1980,1.4
1981,0.5
1982,4.9
1983,1.7
1984,2.7
1985,0.2
1986,1.7
1987,-1.7
1988,1.5
1989,0.6
1990,1.0
1991,7.2
1992,0.0
1993,-6.8
1994,5.3
1995,3.6
1996,3.9
1997,4.3
1998,-6.9
1999,-1.8
2000,6.1
2001,2.2
2002,0.5
2003,4.5
2004,4.0
2005,7.1
2006,3.3
2007,1.3
2008,8.2
2009,1.2
2010,10.8
2011,5.2
2012,5.9
2013,7.3
2014,
2015,
2016,
2017,
2018,
