,TMAX
1881,-1.0
1882,
1883,-4.3
1884,-9.6
1885,1.7
1886,1.9
1887,4.6
1888,-7.3
1889,-3.7
1890,-1.2
1891,2.2
1892,-2.3
1893,-5.0
1894,2.1
1895,-5.5
1896,-0.1
1897,0.5
1898,2.9
1899,-8.2
1900,-4.8
1901,-4.8
1902,-13.5
1903,
1904,1.6
1905,4.0
1906,1.8
1907,1.0
1908,-3.9
1909,2.2
1910,-6.0
1911,-4.3
1912,0.9
1913,4.4
1914,6.1
1915,-1.1
1916,1.1
1917,-4.6
1918,1.7
1919,2.4
1920,-0.9
1921,-0.1
1922,-7.0
1923,-0.8
1924,-3.8
1925,-8.1
1926,-3.1
1927,0.3
1928,-0.1
1929,5.3
1930,4.8
1931,-8.0
1932,6.3
1933,2.4
1934,-4.2
1935,3.1
1936,-0.3
1937,-10.8
1938,6.6
1939,1.6
1940,0.9
1941,-5.1
1942,-2.7
1943,-0.6
1944,0.2
1945,-7.5
1946,2.2
1947,3.7
1948,5.6
1949,2.8
1950,3.7
1951,-3.6
1952,-3.7
1953,7.9
1954,5.3
1955,-8.7
1956,-2.9
1957,1.8
1958,1.4
1959,-3.6
1960,4.0
1961,2.0
1962,-2.4
1963,0.8
1964,-4.6
1965,0.7
1966,3.4
1967,-4.0
1968,1.0
1969,0.6
1970,1.5
1971,0.4
1972,6.0
1973,-2.8
1974,1.8
1975,2.7
1976,5.3
1977,-2.0
1978,-4.4
1979,3.5
1980,-2.2
1981,1.7
1982,3.0
1983,2.4
1984,0.4
1985,-7.2
1986,5.5
1987,2.8
1988,-2.9
1989,3.5
1990,3.5
1991,2.9
1992,4.7
1993,-5.9
1994,1.2
1995,-6.2
1996,5.1
1997,-4.7
1998,-4.2
1999,1.0
2000,5.9
2001,-3.5
2002,-4.2
2003,3.4
2004,-3.7
2005,-2.4
2006,6.9
2007,3.9
2008,6.5
2009,1.9
2010,-7.5
2011,4.1
2012,-2.7
2013,4.2
2014,
2015,
2016,
2017,
2018,
