,TMAX
1881,18.4
1882,
1883,19.3
1884,16.6
1885,13.1
1886,18.4
1887,19.8
1888,25.5
1889,15.8
1890,17.2
1891,17.3
1892,22.2
1893,11.6
1894,12.4
1895,21.2
1896,18.6
1897,19.4
1898,12.6
1899,15.7
1900,12.2
1901,11.3
1902,18.2
1903,18.7
1904,14.5
1905,14.7
1906,11.3
1907,24.5
1908,14.7
1909,16.9
1910,20.1
1911,14.3
1912,18.0
1913,15.9
1914,13.7
1915,18.4
1916,10.0
1917,17.6
1918,17.6
1919,21.0
1920,20.5
1921,11.7
1922,16.6
1923,13.3
1924,18.5
1925,13.5
1926,15.2
1927,18.0
1928,15.2
1929,13.5
1930,13.7
1931,22.6
1932,18.7
1933,13.4
1934,25.9
1935,18.3
1936,18.2
1937,16.9
1938,27.2
1939,18.2
1940,15.0
1941,10.5
1942,18.5
1943,14.8
1944,17.5
1945,11.1
1946,20.0
1947,14.0
1948,17.3
1949,21.9
1950,13.5
1951,22.6
1952,15.8
1953,19.9
1954,18.6
1955,20.4
1956,13.3
1957,17.9
1958,17.5
1959,12.2
1960,17.3
1961,12.6
1962,15.1
1963,25.5
1964,16.2
1965,17.6
1966,20.3
1967,22.1
1968,27.1
1969,14.1
1970,19.3
1971,15.5
1972,13.9
1973,12.2
1974,24.5
1975,25.5
1976,12.0
1977,25.3
1978,17.2
1979,19.3
1980,15.2
1981,16.5
1982,14.5
1983,22.7
1984,15.9
1985,21.3
1986,12.4
1987,14.7
1988,23.3
1989,16.4
1990,14.4
1991,18.2
1992,17.3
1993,13.3
1994,14.0
1995,21.7
1996,18.9
1997,18.2
1998,13.6
1999,21.9
2000,17.7
2001,20.0
2002,22.5
2003,14.0
2004,16.6
2005,18.9
2006,21.2
2007,15.5
2008,17.2
2009,21.9
2010,11.3
2011,16.7
2012,17.6
2013,19.4
2014,
2015,
2016,18.0
2017,15.3
2018,
