,TMAX
1881,2.8
1882,
1883,3.6
1884,-7.8
1885,1.7
1886,0.8
1887,-3.6
1888,0.6
1889,4.7
1890,-6.4
1891,-5.1
1892,-1.2
1893,-1.8
1894,1.3
1895,-2.2
1896,0.9
1897,3.9
1898,4.3
1899,0.6
1900,-1.1
1901,-3.8
1902,0.6
1903,
1904,0.2
1905,3.1
1906,5.3
1907,-6.5
1908,-5.1
1909,-5.6
1910,0.0
1911,4.2
1912,-1.9
1913,7.5
1914,-2.1
1915,2.5
1916,0.8
1917,-5.0
1918,4.4
1919,-5.5
1920,4.0
1921,-2.7
1922,2.1
1923,3.1
1924,3.6
1925,-4.3
1926,8.7
1927,-3.8
1928,2.1
1929,3.0
1930,-4.0
1931,-2.8
1932,0.9
1933,1.4
1934,0.3
1935,-4.8
1936,2.0
1937,1.6
1938,5.2
1939,-1.2
1940,6.6
1941,-4.4
1942,1.1
1943,0.3
1944,3.7
1945,-1.3
1946,-4.1
1947,-2.9
1948,5.4
1949,3.1
1950,0.8
1951,3.0
1952,-1.6
1953,0.1
1954,-1.1
1955,-3.7
1956,-0.6
1957,4.1
1958,4.4
1959,2.8
1960,-1.7
1961,6.5
1962,5.9
1963,0.6
1964,-6.6
1965,-4.9
1966,3.0
1967,4.3
1968,0.5
1969,2.1
1970,2.9
1971,-7.7
1972,0.2
1973,-5.2
1974,1.0
1975,-4.5
1976,2.4
1977,3.1
1978,6.3
1979,2.7
1980,5.2
1981,3.7
1982,2.9
1983,-4.4
1984,0.0
1985,0.1
1986,3.7
1987,-8.7
1988,-3.2
1989,-2.6
1990,-5.7
1991,4.4
1992,0.8
1993,-9.9
1994,2.8
1995,2.0
1996,7.7
1997,-0.3
1998,2.4
1999,-2.3
2000,-4.3
2001,-8.3
2002,-0.3
2003,-1.0
2004,-5.2
2005,1.4
2006,6.5
2007,2.5
2008,-1.0
2009,6.9
2010,0.0
2011,1.4
2012,6.0
2013,6.7
2014,
2015,
2016,
2017,
