,TMAX
1881,1.4
1882,
1883,4.1
1884,-6.8
1885,0.5
1886,3.5
1887,-5.6
1888,1.0
1889,-2.0
1890,2.5
1891,-1.7
1892,2.1
1893,3.4
1894,0.6
1895,0.6
1896,-9.6
1897,-2.2
1898,5.1
1899,-2.0
1900,-4.1
1901,-10.2
1902,-12.7
1903,
1904,-14.2
1905,0.1
1906,0.6
1907,-3.1
1908,1.5
1909,0.3
1910,-3.6
1911,-1.1
1912,0.9
1913,3.0
1914,4.0
1915,-5.7
1916,4.9
1917,-2.0
1918,-3.0
1919,1.4
1920,-4.3
1921,-13.1
1922,-6.4
1923,-2.7
1924,4.7
1925,-10.9
1926,-6.2
1927,1.4
1928,2.0
1929,1.1
1930,-2.1
1931,-5.4
1932,5.7
1933,2.2
1934,0.7
1935,3.9
1936,-0.6
1937,-6.5
1938,3.7
1939,1.1
1940,0.4
1941,-1.2
1942,-9.1
1943,1.7
1944,-0.9
1945,-3.2
1946,-0.6
1947,1.8
1948,4.3
1949,-5.1
1950,-0.7
1951,4.5
1952,-4.3
1953,6.7
1954,-4.4
1955,-0.1
1956,-2.5
1957,-2.2
1958,-2.0
1959,0.8
1960,-4.8
1961,1.1
1962,-4.0
1963,-4.8
1964,-8.1
1965,1.9
1966,0.0
1967,2.4
1968,0.6
1969,1.1
1970,-5.4
1971,2.8
1972,4.0
1973,-8.6
1974,1.0
1975,2.9
1976,4.5
1977,0.4
1978,-4.5
1979,-3.2
1980,1.4
1981,1.0
1982,5.1
1983,-6.7
1984,3.8
1985,-5.1
1986,6.5
1987,3.3
1988,-9.7
1989,3.6
1990,-1.3
1991,5.8
1992,-0.5
1993,-4.6
1994,-1.8
1995,1.1
1996,6.3
1997,-7.3
1998,-6.4
1999,5.0
2000,6.4
2001,-6.5
2002,-12.0
2003,2.9
2004,3.0
2005,1.0
2006,7.7
2007,-2.5
2008,5.2
2009,6.1
2010,-12.6
2011,4.6
2012,-7.7
2013,1.2
2014,-0.2
2015,
2016,
2017,
2018,
