,TMAX
1881,-0.1
1882,
1883,8.4
1884,6.3
1885,4.3
1886,5.0
1887,0.2
1888,5.7
1889,0.0
1890,6.2
1891,6.3
1892,-0.1
1893,7.4
1894,2.6
1895,4.0
1896,5.6
1897,7.9
1898,7.0
1899,2.8
1900,3.6
1901,7.1
1902,4.3
1903,
1904,3.0
1905,2.0
1906,5.2
1907,6.6
1908,6.6
1909,6.8
1910,3.2
1911,9.4
1912,-5.6
1913,0.5
1914,3.6
1915,0.5
1916,2.9
1917,7.4
1918,6.7
1919,3.6
1920,-1.2
1921,-1.0
1922,0.4
1923,8.9
1924,7.0
1925,10.9
1926,-0.4
1927,-1.0
1928,8.3
1929,7.8
1930,11.5
1931,1.3
1932,5.6
1933,0.5
1934,9.2
1935,2.1
1936,7.1
1937,11.5
1938,5.3
1939,5.8
1940,0.2
1941,2.3
1942,8.0
1943,4.2
1944,2.2
1945,3.4
1946,4.2
1947,4.0
1948,9.6
1949,7.8
1950,4.0
1951,7.0
1952,3.4
1953,8.1
1954,11.8
1955,7.4
1956,8.9
1957,6.6
1958,3.9
1959,3.0
1960,0.7
1961,11.0
1962,10.4
1963,9.5
1964,8.2
1965,8.1
1966,5.7
1967,9.8
1968,1.7
1969,6.8
1970,7.2
1971,1.7
1972,7.1
1973,5.4
1974,8.0
1975,9.3
1976,1.4
1977,8.7
1978,4.2
1979,4.3
1980,7.9
1981,8.2
1982,8.1
1983,5.3
1984,9.5
1985,10.0
1986,9.2
1987,4.6
1988,3.4
1989,9.6
1990,6.7
1991,4.4
1992,-2.1
1993,2.7
1994,5.9
1995,9.7
1996,7.5
1997,-0.3
1998,10.6
1999,5.3
2000,9.9
2001,6.5
2002,4.1
2003,-0.3
2004,12.0
2005,1.5
2006,7.8
2007,7.8
2008,8.2
2009,7.5
2010,7.9
2011,8.0
2012,2.0
2013,8.3
2014,
2015,7.8
2016,2.0
2017,1.5
2018,5.4
