,TMAX
1881,-1.0
1882,
1883,8.7
1884,7.7
1885,6.6
1886,5.2
1887,6.0
1888,-2.9
1889,1.5
1890,7.0
1891,-0.5
1892,3.6
1893,5.8
1894,1.8
1895,5.2
1896,7.8
1897,5.9
1898,2.4
1899,4.3
1900,6.2
1901,8.8
1902,5.4
1903,
1904,6.5
1905,4.0
1906,1.5
1907,-0.3
1908,5.5
1909,6.9
1910,5.1
1911,9.5
1912,-2.7
1913,6.2
1914,2.4
1915,0.2
1916,-1.1
1917,7.2
1918,10.8
1919,1.6
1920,-3.4
1921,-6.1
1922,-0.8
1923,2.4
1924,5.3
1925,8.9
1926,-1.7
1927,5.4
1928,7.1
1929,14.1
1930,11.1
1931,1.1
1932,4.7
1933,7.1
1934,10.8
1935,3.7
1936,8.6
1937,11.4
1938,6.0
1939,4.5
1940,0.9
1941,1.1
1942,9.2
1943,8.5
1944,2.5
1945,10.2
1946,4.5
1947,6.1
1948,4.4
1949,10.6
1950,2.2
1951,4.0
1952,2.2
1953,11.9
1954,6.4
1955,6.5
1956,1.9
1957,10.6
1958,3.0
1959,8.7
1960,-0.5
1961,10.6
1962,4.0
1963,5.3
1964,9.0
1965,9.4
1966,3.3
1967,10.7
1968,-2.6
1969,4.5
1970,2.4
1971,5.9
1972,5.8
1973,5.5
1974,6.0
1975,8.9
1976,-0.9
1977,8.3
1978,3.7
1979,1.2
1980,1.9
1981,6.5
1982,8.8
1983,9.3
1984,8.5
1985,3.8
1986,6.1
1987,4.4
1988,9.5
1989,8.3
1990,5.8
1991,3.7
1992,-1.0
1993,5.5
1994,8.4
1995,11.3
1996,5.6
1997,0.1
1998,6.4
1999,7.9
2000,3.9
2001,9.2
2002,6.3
2003,6.1
2004,8.8
2005,2.0
2006,11.2
2007,6.2
2008,9.7
2009,8.6
2010,4.1
2011,6.2
2012,1.0
2013,12.6
2014,
2015,4.2
2016,
2017,1.5
2018,3.3
