,TMAX
1881,2.2
1882,
1883,1.0
1884,0.6
1885,4.0
1886,-4.3
1887,-8.2
1888,-8.8
1889,1.0
1890,-5.8
1891,1.6
1892,-13.6
1893,-3.8
1894,-1.0
1895,-14.1
1896,1.5
1897,2.4
1898,3.9
1899,-7.2
1900,-11.4
1901,-12.1
1902,-6.7
1903,
1904,0.0
1905,-9.2
1906,-6.5
1907,-19.1
1908,-17.7
1909,-0.3
1910,-2.8
1911,-2.9
1912,-4.0
1913,-11.9
1914,-2.7
1915,-18.7
1916,-6.0
1917,-2.8
1918,-2.5
1919,-11.1
1920,0.5
1921,2.3
1922,1.9
1923,-7.1
1924,0.4
1925,-6.8
1926,1.1
1927,-8.1
1928,0.8
1929,-2.6
1930,-13.6
1931,-6.5
1932,3.5
1933,-12.8
1934,-5.7
1935,-3.9
1936,1.6
1937,-4.2
1938,-7.6
1939,-5.4
1940,-8.1
1941,-16.2
1942,1.8
1943,2.3
1944,2.4
1945,-3.5
1946,-1.3
1947,-7.0
1948,1.3
1949,-6.6
1950,-7.0
1951,2.4
1952,-0.1
1953,-2.0
1954,-1.4
1955,1.9
1956,-1.6
1957,4.7
1958,-9.4
1959,2.7
1960,1.0
1961,-10.6
1962,-6.0
1963,1.6
1964,-6.3
1965,1.1
1966,-5.8
1967,-8.3
1968,-1.8
1969,-1.2
1970,-4.5
1971,1.1
1972,-1.4
1973,3.5
1974,1.9
1975,3.4
1976,-14.3
1977,-14.7
1978,-20.6
1979,2.1
1980,2.0
1981,1.7
1982,2.6
1983,1.5
1984,-6.9
1985,-6.2
1986,-14.3
1987,-1.8
1988,-14.7
1989,0.5
1990,2.3
1991,-0.9
1992,0.8
1993,-4.0
1994,1.8
1995,-10.9
1996,-1.6
1997,2.6
1998,3.3
1999,-5.6
2000,-13.0
2001,-9.2
2002,-18.3
2003,4.2
2004,-1.3
2005,-10.8
2006,3.6
2007,0.6
2008,1.4
2009,-2.0
2010,-8.8
2011,3.7
2012,2.5
2013,4.8
2014,
2015,-1.8
2016,
2017,
2018,-0.6
