,TMAX
1881,-0.7
1882,
1883,
1884,-2.0
1885,1.2
1886,-5.1
1887,-0.5
1888,-11.6
1889,-3.5
1890,-5.3
1891,0.8
1892,-13.8
1893,-12.7
1894,-8.6
1895,-8.2
1896,-0.6
1897,-14.0
1898,-6.2
1899,1.5
1900,-20.8
1901,-10.0
1902,1.2
1903,
1904,1.5
1905,0.8
1906,-1.2
1907,-3.7
1908,1.1
1909,-3.1
1910,-5.6
1911,-1.2
1912,-6.3
1913,-5.5
1914,5.6
1915,1.6
1916,-4.0
1917,-13.7
1918,-2.6
1919,-5.0
1920,-6.7
1921,-14.6
1922,-4.9
1923,-14.7
1924,-8.6
1925,2.9
1926,-0.7
1927,-3.7
1928,-10.1
1929,-12.8
1930,2.0
1931,-6.2
1932,-11.5
1933,-5.3
1934,1.1
1935,-0.7
1936,-13.3
1937,-7.1
1938,1.3
1939,3.2
1940,-14.9
1941,-7.5
1942,-3.6
1943,-2.9
1944,-5.6
1945,-3.5
1946,-2.5
1947,-8.7
1948,-7.6
1949,1.7
1950,-8.1
1951,-9.5
1952,-1.8
1953,-5.4
1954,-11.5
1955,-8.1
1956,-4.1
1957,3.2
1958,0.2
1959,-1.3
1960,0.7
1961,0.9
1962,-9.7
1963,-5.0
1964,-6.7
1965,-0.1
1966,-6.4
1967,-5.5
1968,-3.5
1969,-2.7
1970,-12.1
1971,-7.6
1972,1.4
1973,2.8
1974,2.4
1975,-11.1
1976,-4.2
1977,-4.4
1978,-15.4
1979,-10.3
1980,1.3
1981,-5.5
1982,-0.8
1983,-1.9
1984,-2.0
1985,-11.0
1986,-5.4
1987,-1.0
1988,1.2
1989,2.3
1990,1.5
1991,-3.5
1992,-4.8
1993,0.6
1994,-3.9
1995,3.3
1996,-4.3
1997,-13.3
1998,-0.4
1999,0.5
2000,-0.2
2001,3.6
2002,3.0
2003,-4.2
2004,-0.9
2005,-0.9
2006,-5.4
2007,-5.9
2008,-4.8
2009,-4.2
2010,-8.6
2011,-15.9
2012,-7.0
2013,-1.9
2014,
2015,-3.6
2016,
2017,
2018,
2019,6.2
