,TMAX
1881,-11.7
1882,
1883,
1884,-9.6
1885,3.1
1886,-6.1
1887,3.8
1888,-9.4
1889,-5.0
1890,-6.0
1891,3.5
1892,-4.1
1893,2.6
1894,2.6
1895,-9.2
1896,-3.6
1897,-1.7
1898,-4.4
1899,-4.1
1900,-7.3
1901,1.4
1902,-2.6
1903,
1904,-12.4
1905,-4.2
1906,2.2
1907,-4.0
1908,-1.8
1909,-4.2
1910,2.1
1911,-9.7
1912,2.4
1913,-7.2
1914,-1.2
1915,-3.1
1916,-3.5
1917,-5.5
1918,1.1
1919,-9.4
1920,0.8
1921,0.6
1922,2.0
1923,-7.3
1924,-5.9
1925,-0.8
1926,-4.6
1927,-0.2
1928,-2.1
1929,-10.1
1930,-1.1
1931,-7.8
1932,-3.7
1933,-4.3
1934,-2.2
1935,1.7
1936,-5.4
1937,-5.6
1938,2.3
1939,0.3
1940,1.1
1941,-5.2
1942,-3.9
1943,4.9
1944,-6.1
1945,-1.4
1946,-5.8
1947,-15.4
1948,-2.3
1949,0.8
1950,-4.9
1951,-5.1
1952,-8.3
1953,2.0
1954,-6.0
1955,-10.3
1956,-2.8
1957,-6.5
1958,1.6
1959,1.7
1960,-5.5
1961,3.3
1962,-6.3
1963,-1.9
1964,-1.8
1965,-10.9
1966,2.5
1967,0.3
1968,2.0
1969,-3.0
1970,-0.2
1971,-10.9
1972,-2.5
1973,-5.1
1974,-0.8
1975,0.8
1976,-1.3
1977,-10.3
1978,3.0
1979,0.5
1980,-1.8
1981,-2.1
1982,-5.5
1983,-9.3
1984,-2.9
1985,-1.6
1986,-8.5
1987,-9.9
1988,-3.0
1989,9.0
1990,4.5
1991,-1.2
1992,2.1
1993,-2.9
1994,-7.6
1995,2.2
1996,0.0
1997,1.4
1998,4.2
1999,-3.1
2000,6.2
2001,-4.5
2002,3.4
2003,-1.8
2004,-0.3
2005,-9.2
2006,-6.2
2007,-1.1
2008,4.5
2009,2.2
2010,2.2
2011,-4.1
2012,-4.3
2013,2.2
2014,
2015,
2016,
2017,4.4
2018,-11.7
2019,
