,TMAX
1881,-11.5
1882,
1883,
1884,-11.2
1885,-7.1
1886,-7.7
1887,-3.5
1888,-10.1
1889,-1.0
1890,-6.0
1891,0.6
1892,1.7
1893,-16.2
1894,1.8
1895,-11.3
1896,-9.1
1897,0.3
1898,-7.6
1899,-9.3
1900,1.0
1901,-4.6
1902,-0.4
1903,
1904,-3.0
1905,0.2
1906,-4.7
1907,0.2
1908,-7.3
1909,-5.4
1910,-2.6
1911,3.0
1912,-10.7
1913,-9.0
1914,-7.6
1915,1.8
1916,-4.5
1917,-17.0
1918,-10.9
1919,-2.8
1920,3.2
1921,-1.1
1922,-2.7
1923,-14.4
1924,-2.9
1925,-6.4
1926,-12.6
1927,-7.2
1928,-7.8
1929,-14.3
1930,-0.6
1931,-3.5
1932,-11.3
1933,-11.6
1934,1.8
1935,3.7
1936,-10.9
1937,0.4
1938,-7.7
1939,1.4
1940,-0.6
1941,-6.8
1942,-6.1
1943,1.5
1944,0.7
1945,-3.0
1946,-7.5
1947,-8.3
1948,-0.7
1949,4.7
1950,-0.2
1951,-3.7
1952,-1.3
1953,-9.8
1954,-7.7
1955,-11.7
1956,-9.5
1957,1.4
1958,-8.3
1959,-3.8
1960,-0.3
1961,1.7
1962,-3.9
1963,-7.8
1964,-6.0
1965,-9.0
1966,-0.9
1967,-0.5
1968,-10.1
1969,-1.5
1970,-7.0
1971,-9.6
1972,0.2
1973,-5.0
1974,1.9
1975,3.0
1976,-2.8
1977,-1.3
1978,-12.2
1979,-1.4
1980,-2.6
1981,-3.2
1982,-3.8
1983,-1.7
1984,-6.1
1985,-15.7
1986,-11.7
1987,-6.0
1988,-5.0
1989,1.0
1990,5.1
1991,2.8
1992,0.3
1993,0.8
1994,-2.5
1995,3.6
1996,2.1
1997,3.0
1998,4.1
1999,-1.8
2000,-6.3
2001,-13.3
2002,-1.7
2003,-1.5
2004,-2.0
2005,-6.7
2006,-7.2
2007,-11.4
2008,3.3
2009,-4.6
2010,-2.0
2011,-11.3
2012,1.9
2013,-2.0
2014,
2015,4.1
2016,
2017,
2018,-8.4
2019,1.3
