,TMAX
1881,-7.0
1882,
1883,
1884,-2.7
1885,-10.2
1886,-5.9
1887,-3.7
1888,1.0
1889,0.7
1890,3.5
1891,-15.2
1892,0.5
1893,-14.4
1894,-3.1
1895,-1.7
1896,0.3
1897,-19.5
1898,-0.9
1899,-15.2
1900,-12.1
1901,-1.3
1902,0.1
1903,
1904,-7.3
1905,-10.0
1906,0.3
1907,
1908,-13.3
1909,-5.0
1910,-7.2
1911,-4.7
1912,-13.8
1913,1.4
1914,-16.8
1915,-11.0
1916,0.0
1917,-2.1
1918,-17.1
1919,1.9
1920,1.8
1921,3.5
1922,-5.2
1923,-2.7
1924,-4.3
1925,-0.7
1926,-8.6
1927,-9.4
1928,-2.1
1929,-4.5
1930,4.9
1931,-2.5
1932,3.8
1933,-2.0
1934,1.8
1935,-7.0
1936,-4.2
1937,1.0
1938,-5.1
1939,-6.6
1940,-16.4
1941,0.3
1942,-16.3
1943,-15.5
1944,-1.5
1945,-1.9
1946,1.6
1947,-6.6
1948,-8.2
1949,1.4
1950,-23.7
1951,-7.2
1952,3.5
1953,-7.7
1954,-5.2
1955,0.0
1956,-5.0
1957,-3.2
1958,-14.9
1959,-2.2
1960,-7.7
1961,0.7
1962,-1.7
1963,-4.3
1964,0.3
1965,-8.3
1966,-9.4
1967,-6.6
1968,-23.2
1969,-11.1
1970,-6.4
1971,0.4
1972,-3.6
1973,3.9
1974,-10.3
1975,-8.1
1976,-0.6
1977,1.0
1978,3.0
1979,0.8
1980,-5.6
1981,-7.2
1982,-13.1
1983,3.6
1984,1.8
1985,-11.3
1986,-6.5
1987,-25.4
1988,-6.0
1989,0.0
1990,1.9
1991,2.7
1992,2.2
1993,1.7
1994,1.6
1995,-3.5
1996,-3.7
1997,-2.6
1998,1.4
1999,-7.9
2000,3.5
2001,2.4
2002,-0.8
2003,-9.9
2004,-10.8
2005,5.0
2006,0.9
2007,3.7
2008,-5.7
2009,-7.4
2010,-7.1
2011,0.2
2012,-0.1
2013,-4.6
2014,
2015,
2016,-16.8
2017,
2018,
2019,
