,TMAX
1881,-0.4
1882,
1883,4.3
1884,6.5
1885,-1.8
1886,3.4
1887,5.5
1888,-0.7
1889,6.1
1890,9.9
1891,2.0
1892,2.7
1893,0.1
1894,-0.5
1895,4.9
1896,6.2
1897,1.9
1898,3.8
1899,10.5
1900,2.7
1901,5.4
1902,-2.8
1903,
1904,3.2
1905,0.1
1906,0.2
1907,4.4
1908,-4.4
1909,6.7
1910,-1.5
1911,7.1
1912,-3.8
1913,4.0
1914,1.3
1915,-5.6
1916,5.1
1917,3.4
1918,9.2
1919,-3.2
1920,-4.5
1921,-2.9
1922,4.5
1923,5.8
1924,-0.5
1925,1.3
1926,2.4
1927,6.4
1928,6.9
1929,7.4
1930,11.2
1931,6.6
1932,3.4
1933,2.5
1934,8.4
1935,2.4
1936,8.1
1937,8.4
1938,3.3
1939,4.8
1940,1.5
1941,-2.7
1942,-5.9
1943,2.3
1944,5.2
1945,3.4
1946,5.6
1947,3.6
1948,6.4
1949,5.3
1950,-0.8
1951,-3.4
1952,3.4
1953,0.7
1954,7.9
1955,-2.5
1956,-1.8
1957,8.9
1958,3.9
1959,4.6
1960,7.8
1961,5.0
1962,5.0
1963,2.0
1964,1.8
1965,2.7
1966,4.1
1967,10.5
1968,0.5
1969,-2.4
1970,-3.7
1971,-2.5
1972,2.6
1973,4.0
1974,4.4
1975,7.0
1976,3.4
1977,7.0
1978,3.4
1979,2.0
1980,1.8
1981,2.1
1982,3.4
1983,8.3
1984,5.0
1985,5.9
1986,2.5
1987,-1.3
1988,0.4
1989,9.3
1990,1.4
1991,5.2
1992,2.7
1993,1.3
1994,3.9
1995,1.0
1996,8.9
1997,2.4
1998,1.6
1999,-0.2
2000,9.0
2001,1.7
2002,3.5
2003,6.8
2004,6.0
2005,9.2
2006,2.6
2007,-1.0
2008,3.3
2009,1.9
2010,2.6
2011,5.4
2012,4.1
2013,7.3
2014,
2015,
2016,-5.5
2017,6.2
2018,5.8
