,TMAX
1881,9.3
1882,
1883,
1884,8.4
1885,9.2
1886,18.2
1887,7.8
1888,9.6
1889,21.0
1890,8.7
1891,9.0
1892,10.5
1893,10.8
1894,18.0
1895,14.1
1896,11.3
1897,17.4
1898,13.5
1899,10.8
1900,8.7
1901,6.2
1902,6.1
1903,7.4
1904,8.8
1905,21.8
1906,21.3
1907,12.4
1908,7.7
1909,6.0
1910,16.8
1911,19.4
1912,4.8
1913,11.7
1914,17.9
1915,17.9
1916,21.4
1917,2.3
1918,2.5
1919,17.7
1920,16.2
1921,15.8
1922,9.0
1923,10.6
1924,15.6
1925,17.4
1926,9.8
1927,10.2
1928,13.5
1929,23.9
1930,8.4
1931,15.2
1932,16.2
1933,6.1
1934,25.9
1935,3.8
1936,18.3
1937,10.0
1938,12.2
1939,3.8
1940,22.4
1941,2.1
1942,2.6
1943,21.2
1944,9.6
1945,10.3
1946,8.0
1947,20.5
1948,22.7
1949,13.8
1950,9.7
1951,8.3
1952,4.9
1953,5.4
1954,21.7
1955,7.6
1956,12.0
1957,19.9
1958,7.4
1959,10.6
1960,16.4
1961,19.1
1962,13.8
1963,15.1
1964,11.5
1965,17.2
1966,8.8
1967,17.7
1968,16.9
1969,16.3
1970,14.9
1971,14.9
1972,11.5
1973,9.2
1974,15.0
1975,22.2
1976,6.8
1977,8.4
1978,11.2
1979,10.5
1980,17.8
1981,14.3
1982,20.6
1983,16.2
1984,11.9
1985,11.5
1986,13.3
1987,5.4
1988,11.7
1989,14.9
1990,11.4
1991,13.0
1992,14.3
1993,25.9
1994,17.6
1995,9.4
1996,10.0
1997,12.4
1998,14.6
1999,3.8
2000,12.2
2001,18.0
2002,20.1
2003,12.4
2004,25.6
2005,12.6
2006,16.5
2007,13.6
2008,13.8
2009,15.7
2010,22.8
2011,18.3
2012,13.8
2013,18.0
2014,
2015,
2016,20.6
2017,7.0
2018,18.2
