,TMAX
1881,8.2
1882,
1883,
1884,13.1
1885,7.7
1886,14.3
1887,7.9
1888,8.2
1889,17.7
1890,14.9
1891,6.7
1892,14.0
1893,12.5
1894,13.7
1895,14.4
1896,10.8
1897,21.8
1898,18.5
1899,8.1
1900,14.4
1901,1.7
1902,4.3
1903,6.7
1904,2.2
1905,15.5
1906,22.7
1907,9.2
1908,6.2
1909,1.0
1910,19.5
1911,23.9
1912,6.1
1913,9.3
1914,14.9
1915,18.0
1916,25.9
1917,9.7
1918,4.8
1919,17.2
1920,13.3
1921,11.2
1922,13.4
1923,8.4
1924,13.7
1925,13.5
1926,7.4
1927,9.4
1928,17.4
1929,19.7
1930,8.3
1931,10.2
1932,19.9
1933,9.6
1934,26.4
1935,7.4
1936,17.3
1937,16.4
1938,9.9
1939,8.0
1940,20.2
1941,1.4
1942,0.9
1943,18.2
1944,6.4
1945,16.4
1946,8.7
1947,15.7
1948,21.6
1949,22.3
1950,14.7
1951,8.8
1952,10.5
1953,2.2
1954,18.4
1955,12.0
1956,14.9
1957,13.9
1958,6.9
1959,13.0
1960,16.9
1961,15.3
1962,16.2
1963,17.2
1964,13.4
1965,16.4
1966,4.6
1967,7.9
1968,19.4
1969,14.9
1970,12.3
1971,15.3
1972,18.3
1973,10.6
1974,5.5
1975,20.8
1976,8.4
1977,16.4
1978,8.7
1979,9.2
1980,17.0
1981,14.0
1982,23.0
1983,15.2
1984,14.8
1985,12.3
1986,16.7
1987,5.4
1988,15.4
1989,15.0
1990,16.3
1991,9.1
1992,12.0
1993,20.7
1994,15.5
1995,17.1
1996,11.4
1997,14.7
1998,14.6
1999,7.5
2000,11.1
2001,15.9
2002,17.3
2003,18.8
2004,26.4
2005,13.3
2006,18.6
2007,18.2
2008,11.4
2009,18.3
2010,10.1
2011,16.3
2012,13.5
2013,19.8
2014,
2015,19.3
2016,
2017,8.1
2018,
