,TMAX
1881,-2.1
1882,
1883,
1884,-0.6
1885,1.6
1886,-1.1
1887,-3.4
1888,-0.2
1889,-1.7
1890,2.9
1891,-1.5
1892,0.0
1893,-4.0
1894,0.3
1895,-1.2
1896,4.0
1897,2.6
1898,-3.1
1899,-8.2
1900,1.3
1901,0.3
1902,1.3
1903,
1904,3.0
1905,2.5
1906,-3.0
1907,0.0
1908,2.0
1909,-0.2
1910,1.8
1911,-4.9
1912,2.9
1913,4.8
1914,-2.9
1915,-9.3
1916,-1.0
1917,-11.4
1918,-0.5
1919,-10.0
1920,2.1
1921,6.3
1922,-6.6
1923,5.9
1924,-9.2
1925,3.3
1926,-4.1
1927,-4.6
1928,2.9
1929,5.5
1930,1.6
1931,1.4
1932,-3.5
1933,5.2
1934,3.3
1935,-0.1
1936,-1.6
1937,3.9
1938,2.7
1939,-2.8
1940,-2.3
1941,-2.3
1942,-8.1
1943,3.4
1944,0.6
1945,1.6
1946,1.6
1947,0.5
1948,-0.8
1949,2.4
1950,7.5
1951,-2.9
1952,-7.3
1953,3.5
1954,0.1
1955,-4.0
1956,3.9
1957,-10.3
1958,-7.1
1959,1.7
1960,2.6
1961,-0.3
1962,-1.1
1963,-11.5
1964,-1.1
1965,4.0
1966,2.2
1967,4.0
1968,2.6
1969,2.4
1970,5.9
1971,2.6
1972,7.3
1973,-3.5
1974,1.7
1975,1.4
1976,-3.4
1977,4.8
1978,-7.9
1979,-1.0
1980,-6.5
1981,2.3
1982,5.5
1983,3.3
1984,-4.4
1985,3.0
1986,8.3
1987,1.2
1988,0.2
1989,3.8
1990,10.5
1991,2.9
1992,6.4
1993,2.0
1994,-0.1
1995,2.3
1996,5.5
1997,-4.5
1998,4.0
1999,9.4
2000,6.4
2001,-4.2
2002,9.1
2003,1.4
2004,4.8
2005,-3.3
2006,-1.7
2007,8.6
2008,-0.9
2009,1.4
2010,3.4
2011,3.4
2012,2.4
2013,-3.5
2014,
2015,
2016,
2017,7.5
2018,
2019,2.1
