,TMAX
1881,3.8
1882,
1883,6.1
1884,3.6
1885,-0.1
1886,1.7
1887,7.0
1888,3.9
1889,7.2
1890,0.4
1891,2.7
1892,4.8
1893,3.3
1894,-0.2
1895,4.1
1896,13.4
1897,7.0
1898,0.6
1899,8.4
1900,5.0
1901,9.3
1902,0.4
1903,
1904,5.0
1905,3.7
1906,9.6
1907,10.0
1908,2.2
1909,13.1
1910,5.8
1911,6.2
1912,0.4
1913,6.2
1914,2.0
1915,2.1
1916,2.3
1917,12.0
1918,5.1
1919,8.4
1920,6.8
1921,9.9
1922,6.4
1923,9.5
1924,6.5
1925,2.3
1926,2.3
1927,4.9
1928,6.9
1929,9.2
1930,9.4
1931,6.7
1932,6.8
1933,2.4
1934,9.9
1935,9.7
1936,2.6
1937,9.5
1938,8.4
1939,3.7
1940,3.9
1941,2.7
1942,3.9
1943,11.4
1944,14.2
1945,0.2
1946,7.3
1947,8.7
1948,9.5
1949,11.1
1950,5.4
1951,8.8
1952,5.0
1953,9.7
1954,5.9
1955,9.1
1956,7.7
1957,7.4
1958,4.5
1959,7.6
1960,2.0
1961,8.4
1962,8.7
1963,7.1
1964,9.4
1965,8.1
1966,8.2
1967,6.3
1968,6.8
1969,8.9
1970,9.9
1971,9.8
1972,3.3
1973,1.4
1974,8.8
1975,6.3
1976,3.4
1977,4.0
1978,8.7
1979,10.4
1980,7.4
1981,10.6
1982,1.3
1983,7.1
1984,12.2
1985,9.3
1986,11.5
1987,2.3
1988,8.3
1989,10.5
1990,3.0
1991,7.5
1992,5.3
1993,6.8
1994,5.2
1995,4.5
1996,7.4
1997,4.0
1998,6.1
1999,4.6
2000,9.2
2001,5.3
2002,1.3
2003,2.7
2004,5.4
2005,8.6
2006,2.7
2007,7.7
2008,13.1
2009,9.7
2010,6.0
2011,8.4
2012,7.4
2013,4.8
2014,
2015,
2016,2.7
2017,5.5
2018,12.0
