,TMAX
1881,3.1
1882,
1883,4.5
1884,6.7
1885,1.4
1886,7.0
1887,-1.0
1888,-0.5
1889,1.5
1890,0.6
1891,1.2
1892,4.8
1893,4.1
1894,1.3
1895,-0.1
1896,-0.2
1897,3.3
1898,4.6
1899,5.9
1900,2.3
1901,-2.5
1902,3.6
1903,
1904,-1.7
1905,0.6
1906,4.5
1907,0.9
1908,-6.1
1909,5.6
1910,1.8
1911,5.1
1912,-0.6
1913,4.4
1914,6.0
1915,3.4
1916,8.6
1917,4.9
1918,5.0
1919,-4.4
1920,7.3
1921,-6.6
1922,1.9
1923,5.1
1924,1.2
1925,2.5
1926,5.4
1927,-2.4
1928,2.4
1929,4.3
1930,2.8
1931,5.5
1932,6.0
1933,6.8
1934,6.7
1935,7.7
1936,6.9
1937,7.4
1938,2.3
1939,7.6
1940,-1.6
1941,-4.4
1942,-1.8
1943,1.1
1944,2.3
1945,-4.9
1946,0.6
1947,0.3
1948,-0.7
1949,3.2
1950,1.1
1951,-7.1
1952,3.0
1953,6.4
1954,6.0
1955,7.5
1956,-4.8
1957,2.0
1958,4.2
1959,3.2
1960,2.8
1961,0.4
1962,-1.5
1963,5.2
1964,5.4
1965,-0.5
1966,5.3
1967,6.6
1968,-1.0
1969,5.6
1970,0.8
1971,2.5
1972,7.9
1973,2.3
1974,4.2
1975,4.9
1976,3.2
1977,6.0
1978,8.0
1979,3.6
1980,-2.7
1981,3.0
1982,10.1
1983,1.5
1984,0.1
1985,7.6
1986,9.8
1987,0.0
1988,-2.8
1989,6.8
1990,4.6
1991,4.1
1992,-1.0
1993,-3.8
1994,-3.8
1995,1.1
1996,4.3
1997,1.6
1998,-8.9
1999,5.1
2000,3.4
2001,5.7
2002,-3.1
2003,4.7
2004,5.9
2005,6.8
2006,0.2
2007,2.1
2008,10.8
2009,1.6
2010,5.9
2011,5.0
2012,3.1
2013,6.2
2014,
2015,
2016,
2017,6.5
2018,4.2
