,TMAX
1881,1.8
1882,
1883,3.5
1884,8.7
1885,1.1
1886,2.6
1887,3.6
1888,6.6
1889,-2.0
1890,7.5
1891,9.5
1892,2.6
1893,4.2
1894,2.3
1895,9.3
1896,5.9
1897,8.5
1898,5.7
1899,5.6
1900,4.6
1901,9.7
1902,6.3
1903,
1904,3.8
1905,5.6
1906,5.0
1907,11.0
1908,7.6
1909,10.5
1910,2.5
1911,0.9
1912,-5.5
1913,1.0
1914,3.7
1915,0.8
1916,3.1
1917,7.7
1918,6.7
1919,6.4
1920,1.1
1921,1.0
1922,-0.1
1923,12.4
1924,8.4
1925,4.7
1926,-0.6
1927,-0.7
1928,7.3
1929,9.1
1930,9.9
1931,1.4
1932,7.4
1933,1.3
1934,9.6
1935,3.7
1936,5.2
1937,10.9
1938,0.5
1939,2.6
1940,3.4
1941,2.0
1942,9.7
1943,10.2
1944,3.0
1945,6.4
1946,2.4
1947,1.9
1948,4.5
1949,9.6
1950,3.0
1951,8.1
1952,1.7
1953,6.3
1954,14.1
1955,7.6
1956,10.9
1957,7.3
1958,5.6
1959,-3.4
1960,-0.9
1961,7.8
1962,8.1
1963,9.4
1964,11.6
1965,7.6
1966,7.5
1967,7.4
1968,-2.2
1969,5.1
1970,2.5
1971,2.5
1972,4.4
1973,2.9
1974,6.8
1975,7.6
1976,2.5
1977,9.7
1978,7.9
1979,5.4
1980,6.8
1981,6.8
1982,9.6
1983,6.1
1984,5.6
1985,8.4
1986,8.1
1987,3.4
1988,0.6
1989,10.1
1990,6.2
1991,3.0
1992,-1.8
1993,3.1
1994,6.9
1995,9.9
1996,5.8
1997,-0.9
1998,12.6
1999,3.6
2000,11.2
2001,5.6
2002,4.5
2003,-0.9
2004,10.4
2005,3.7
2006,15.6
2007,6.6
2008,8.5
2009,4.1
2010,8.2
2011,8.7
2012,6.1
2013,11.8
2014,
2015,
2016,2.6
2017,
2018,6.0
