,TMAX
1881,5.1
1882,
1883,9.1
1884,16.4
1885,11.5
1886,5.6
1887,6.5
1888,12.8
1889,18.5
1890,5.2
1891,15.3
1892,7.7
1893,12.1
1894,7.7
1895,13.3
1896,15.0
1897,4.6
1898,6.5
1899,13.9
1900,11.7
1901,13.2
1902,5.9
1903,
1904,11.7
1905,8.5
1906,7.8
1907,16.5
1908,6.8
1909,17.3
1910,8.7
1911,9.8
1912,7.3
1913,7.5
1914,6.4
1915,7.0
1916,8.8
1917,12.0
1918,12.4
1919,12.7
1920,7.9
1921,6.1
1922,6.4
1923,8.4
1924,17.9
1925,5.1
1926,8.7
1927,9.7
1928,8.5
1929,11.9
1930,5.9
1931,8.3
1932,10.3
1933,6.5
1934,7.5
1935,14.2
1936,5.5
1937,10.8
1938,16.2
1939,3.6
1940,13.1
1941,9.2
1942,11.7
1943,11.6
1944,14.5
1945,9.2
1946,10.2
1947,8.2
1948,7.8
1949,5.3
1950,12.2
1951,9.1
1952,6.4
1953,13.3
1954,10.3
1955,11.7
1956,11.8
1957,7.5
1958,16.4
1959,9.5
1960,11.6
1961,12.0
1962,16.1
1963,12.3
1964,11.7
1965,9.2
1966,18.0
1967,18.3
1968,9.4
1969,6.3
1970,5.5
1971,3.3
1972,10.0
1973,11.7
1974,10.8
1975,7.5
1976,6.8
1977,6.4
1978,5.4
1979,6.6
1980,9.8
1981,16.2
1982,13.7
1983,12.6
1984,13.8
1985,15.9
1986,5.2
1987,10.9
1988,16.8
1989,7.1
1990,8.3
1991,13.6
1992,10.5
1993,11.0
1994,10.0
1995,13.4
1996,10.3
1997,7.1
1998,9.8
1999,12.5
2000,14.2
2001,12.6
2002,7.3
2003,13.8
2004,12.3
2005,14.3
2006,14.7
2007,13.9
2008,14.2
2009,10.2
2010,12.7
2011,13.1
2012,14.6
2013,13.8
2014,
2015,
2016,9.5
2017,10.4
2018,11.6
