,TMAX
1881,0.3
1882,
1883,
1884,-4.6
1885,3.0
1886,-4.4
1887,2.3
1888,-9.5
1889,-10.0
1890,1.5
1891,-1.0
1892,2.3
1893,-17.2
1894,1.0
1895,-12.7
1896,-7.3
1897,-4.7
1898,2.2
1899,-11.3
1900,1.7
1901,-0.2
1902,-0.2
1903,
1904,-3.6
1905,-12.3
1906,-0.5
1907,-4.2
1908,-0.4
1909,-9.0
1910,-2.3
1911,-12.3
1912,-8.0
1913,-3.4
1914,3.6
1915,-15.6
1916,0.0
1917,-20.5
1918,0.4
1919,-1.3
1920,-11.5
1921,-12.5
1922,-12.0
1923,-7.7
1924,0.6
1925,1.3
1926,-1.1
1927,0.7
1928,-3.7
1929,-1.7
1930,-12.6
1931,-13.9
1932,-7.0
1933,1.7
1934,-2.2
1935,-7.7
1936,-4.7
1937,-7.6
1938,-0.4
1939,0.6
1940,-17.0
1941,-15.0
1942,-11.6
1943,3.5
1944,-3.1
1945,0.8
1946,0.5
1947,-3.8
1948,2.6
1949,-6.5
1950,-7.3
1951,-3.9
1952,-2.6
1953,-6.0
1954,-6.6
1955,0.6
1956,0.9
1957,3.5
1958,1.1
1959,-3.8
1960,-9.6
1961,2.4
1962,-6.8
1963,-8.5
1964,1.9
1965,-6.8
1966,-20.4
1967,-13.6
1968,3.0
1969,-0.9
1970,-2.4
1971,1.9
1972,-5.7
1973,-2.1
1974,1.2
1975,-2.6
1976,-20.0
1977,-2.6
1978,-6.6
1979,-3.9
1980,-9.0
1981,0.7
1982,-6.8
1983,1.1
1984,-5.2
1985,-7.9
1986,-7.8
1987,0.4
1988,-3.3
1989,2.1
1990,3.6
1991,-7.3
1992,0.8
1993,4.5
1994,-15.3
1995,3.3
1996,-2.1
1997,-3.9
1998,-17.3
1999,-1.7
2000,-1.5
2001,-6.7
2002,0.1
2003,-7.1
2004,0.5
2005,-5.1
2006,-13.9
2007,-4.2
2008,2.8
2009,-2.8
2010,1.2
2011,1.4
2012,-14.3
2013,-1.6
2014,
2015,1.2
2016,
2017,
2018,-0.8
2019,
