,TMAX
1881,-17.9
1882,
1883,
1884,1.6
1885,-1.3
1886,-6.6
1887,1.2
1888,-9.6
1889,-6.1
1890,-10.4
1891,-7.4
1892,-18.3
1893,-10.6
1894,2.9
1895,-0.7
1896,-0.2
1897,-10.6
1898,-1.4
1899,4.5
1900,-0.9
1901,1.4
1902,-18.5
1903,
1904,0.7
1905,-5.0
1906,-8.2
1907,
1908,1.5
1909,-1.0
1910,-11.8
1911,1.8
1912,-6.8
1913,-6.3
1914,-1.6
1915,-1.6
1916,2.3
1917,-1.6
1918,2.7
1919,-7.9
1920,-12.1
1921,-4.9
1922,-11.2
1923,-2.6
1924,-14.5
1925,1.1
1926,-12.0
1927,-10.1
1928,-6.1
1929,-12.7
1930,2.3
1931,-14.2
1932,3.5
1933,-20.6
1934,3.1
1935,1.0
1936,1.3
1937,-15.3
1938,-2.8
1939,-1.0
1940,-12.3
1941,-14.4
1942,-9.3
1943,-16.5
1944,1.6
1945,-5.1
1946,-4.1
1947,-5.2
1948,0.8
1949,-3.0
1950,-4.0
1951,-8.8
1952,-3.4
1953,-1.4
1954,-4.7
1955,-6.4
1956,2.0
1957,2.6
1958,-3.5
1959,2.6
1960,-8.2
1961,-7.4
1962,-7.4
1963,-9.1
1964,2.3
1965,-2.2
1966,-9.8
1967,-20.3
1968,-5.6
1969,-10.7
1970,-4.1
1971,1.5
1972,-3.8
1973,-10.2
1974,0.0
1975,1.0
1976,2.0
1977,-17.1
1978,-7.8
1979,-7.4
1980,-9.0
1981,-3.4
1982,-3.0
1983,-0.9
1984,-4.0
1985,-15.9
1986,2.0
1987,-3.4
1988,-5.4
1989,1.9
1990,-7.6
1991,1.1
1992,1.3
1993,3.0
1994,3.4
1995,-9.2
1996,-1.9
1997,2.2
1998,1.8
1999,4.7
2000,-9.1
2001,-6.9
2002,1.2
2003,1.2
2004,-10.8
2005,0.8
2006,-19.8
2007,-3.9
2008,1.2
2009,-0.2
2010,-15.2
2011,-3.9
2012,-2.8
2013,-4.8
2014,
2015,
2016,
2017,
2018,
2019,
