,TMAX
1881,-0.4
1882,
1883,
1884,-5.1
1885,3.0
1886,-4.4
1887,0.5
1888,-11.3
1889,-11.3
1890,1.9
1891,1.1
1892,2.5
1893,-19.3
1894,1.1
1895,-7.7
1896,1.9
1897,-10.4
1898,1.0
1899,-12.4
1900,-5.5
1901,-3.7
1902,-2.0
1903,
1904,-5.0
1905,-12.2
1906,1.5
1907,-3.5
1908,-1.4
1909,-8.7
1910,-3.6
1911,-14.3
1912,-12.6
1913,-3.5
1914,3.8
1915,-11.0
1916,-0.4
1917,-19.8
1918,1.7
1919,-3.8
1920,2.1
1921,-13.1
1922,-16.1
1923,-5.5
1924,-0.1
1925,-0.1
1926,-4.2
1927,0.4
1928,-7.4
1929,-1.2
1930,-13.1
1931,-11.8
1932,-12.4
1933,1.7
1934,0.8
1935,-3.7
1936,1.0
1937,-4.1
1938,2.3
1939,-7.2
1940,-14.5
1941,-10.5
1942,-13.3
1943,3.0
1944,0.0
1945,0.7
1946,2.3
1947,-10.3
1948,1.8
1949,1.7
1950,-5.7
1951,-5.3
1952,0.3
1953,-11.6
1954,-1.7
1955,2.6
1956,-3.0
1957,1.2
1958,1.3
1959,-2.4
1960,-11.5
1961,1.9
1962,-3.0
1963,-4.5
1964,-0.7
1965,-5.3
1966,-23.2
1967,-9.4
1968,2.6
1969,-1.4
1970,-4.5
1971,-3.0
1972,-6.1
1973,1.5
1974,2.5
1975,0.6
1976,-13.3
1977,-2.8
1978,-8.7
1979,-1.8
1980,-4.2
1981,2.0
1982,-3.2
1983,0.6
1984,-5.2
1985,-9.3
1986,-10.2
1987,-0.1
1988,-3.0
1989,4.6
1990,3.1
1991,-6.6
1992,1.0
1993,2.1
1994,-16.1
1995,1.3
1996,-10.2
1997,-0.2
1998,-12.3
1999,-11.8
2000,-4.5
2001,-15.0
2002,5.8
2003,-8.7
2004,-1.0
2005,-5.1
2006,-18.8
2007,0.5
2008,3.0
2009,-0.9
2010,-2.5
2011,1.0
2012,-14.4
2013,-1.6
2014,
2015,0.2
2016,
2017,-1.0
2018,
2019,
