,TMAX
1881,13.0
1882,
1883,
1884,20.5
1885,15.9
1886,13.9
1887,15.0
1888,13.1
1889,19.2
1890,20.1
1891,10.5
1892,17.0
1893,16.3
1894,11.1
1895,12.8
1896,23.4
1897,17.8
1898,17.0
1899,10.3
1900,15.0
1901,18.9
1902,14.4
1903,19.1
1904,14.7
1905,17.7
1906,15.5
1907,24.2
1908,14.8
1909,14.0
1910,20.7
1911,21.1
1912,20.4
1913,17.3
1914,10.0
1915,14.8
1916,14.6
1917,21.0
1918,6.8
1919,17.3
1920,15.3
1921,18.7
1922,13.3
1923,9.4
1924,12.4
1925,15.4
1926,26.2
1927,14.7
1928,15.6
1929,14.7
1930,13.9
1931,12.1
1932,16.1
1933,13.4
1934,17.6
1935,21.1
1936,18.7
1937,10.6
1938,24.0
1939,10.8
1940,14.8
1941,12.6
1942,15.5
1943,20.8
1944,13.7
1945,19.8
1946,17.6
1947,12.3
1948,24.7
1949,27.0
1950,19.1
1951,17.8
1952,16.2
1953,25.8
1954,13.2
1955,18.6
1956,18.4
1957,14.2
1958,18.2
1959,22.8
1960,19.7
1961,25.3
1962,15.3
1963,17.6
1964,17.4
1965,13.7
1966,13.7
1967,20.0
1968,20.2
1969,15.4
1970,22.9
1971,20.6
1972,16.3
1973,26.9
1974,15.3
1975,14.0
1976,11.6
1977,14.9
1978,19.6
1979,18.0
1980,21.9
1981,20.2
1982,23.4
1983,17.2
1984,25.6
1985,10.8
1986,16.8
1987,19.6
1988,21.0
1989,28.5
1990,23.7
1991,15.8
1992,22.2
1993,13.7
1994,17.9
1995,25.0
1996,16.0
1997,12.5
1998,19.7
1999,22.4
2000,12.2
2001,18.4
2002,18.2
2003,17.5
2004,19.8
2005,19.7
2006,16.4
2007,22.4
2008,18.4
2009,12.0
2010,17.3
2011,19.6
2012,15.7
2013,29.5
2014,
2015,
2016,18.1
2017,13.0
2018,
