,TMAX
1881,-5.6
1882,
1883,2.5
1884,-8.2
1885,2.2
1886,1.5
1887,-6.6
1888,2.0
1889,-2.7
1890,1.3
1891,0.0
1892,-7.7
1893,1.8
1894,-1.7
1895,-8.5
1896,-6.1
1897,-2.0
1898,-12.2
1899,-3.3
1900,1.4
1901,-8.6
1902,-3.4
1903,
1904,-0.3
1905,1.8
1906,-1.5
1907,-17.5
1908,1.5
1909,1.9
1910,1.5
1911,1.7
1912,-0.3
1913,1.4
1914,1.3
1915,-12.2
1916,2.8
1917,1.0
1918,-13.4
1919,-2.7
1920,-2.6
1921,-8.0
1922,2.9
1923,2.3
1924,-1.6
1925,-7.6
1926,-3.1
1927,-9.1
1928,-5.3
1929,4.0
1930,-10.7
1931,-5.3
1932,-2.3
1933,-4.4
1934,0.4
1935,-5.5
1936,1.9
1937,-4.6
1938,-1.2
1939,-1.7
1940,-6.5
1941,-13.6
1942,2.6
1943,-1.6
1944,-5.9
1945,-7.9
1946,-6.3
1947,-5.6
1948,-1.6
1949,1.2
1950,3.4
1951,0.8
1952,1.6
1953,-4.0
1954,0.2
1955,-16.2
1956,1.9
1957,-6.7
1958,1.6
1959,-5.8
1960,0.6
1961,-8.7
1962,-1.3
1963,-3.1
1964,2.9
1965,-3.9
1966,-10.3
1967,3.0
1968,1.0
1969,-1.6
1970,-2.1
1971,-5.6
1972,4.8
1973,-3.0
1974,0.1
1975,3.5
1976,-0.2
1977,1.1
1978,-11.3
1979,-7.6
1980,3.7
1981,-8.2
1982,-2.6
1983,-0.3
1984,-4.2
1985,1.0
1986,-11.3
1987,-8.4
1988,-4.6
1989,-12.2
1990,-3.8
1991,-0.1
1992,2.9
1993,-3.7
1994,-2.8
1995,-0.2
1996,-2.4
1997,-17.8
1998,-0.9
1999,1.1
2000,5.5
2001,-1.2
2002,-3.5
2003,0.9
2004,2.6
2005,1.9
2006,10.4
2007,1.6
2008,-3.1
2009,-9.9
2010,-3.6
2011,6.7
2012,-6.2
2013,-2.7
2014,2.2
2015,1.5
2016,
2017,
2018,
