,TMAX
1881,17.2
1882,
1883,
1884,11.0
1885,24.0
1886,14.2
1887,24.7
1888,14.9
1889,21.3
1890,12.1
1891,19.0
1892,14.8
1893,18.8
1894,9.2
1895,23.3
1896,17.7
1897,17.9
1898,13.6
1899,9.0
1900,25.2
1901,17.0
1902,10.5
1903,22.6
1904,4.4
1905,11.7
1906,20.6
1907,12.5
1908,16.2
1909,9.3
1910,13.2
1911,9.6
1912,26.9
1913,21.7
1914,23.0
1915,13.7
1916,9.4
1917,17.5
1918,12.0
1919,16.9
1920,18.3
1921,14.2
1922,21.9
1923,12.9
1924,12.3
1925,8.3
1926,25.2
1927,15.8
1928,18.1
1929,18.1
1930,22.6
1931,25.1
1932,14.3
1933,13.1
1934,10.0
1935,15.7
1936,11.2
1937,19.5
1938,17.2
1939,15.3
1940,8.8
1941,14.5
1942,16.4
1943,15.8
1944,11.1
1945,8.2
1946,19.1
1947,21.7
1948,13.9
1949,16.7
1950,16.8
1951,8.6
1952,15.0
1953,19.2
1954,21.5
1955,10.1
1956,17.8
1957,10.6
1958,17.8
1959,9.4
1960,20.0
1961,17.2
1962,16.7
1963,26.3
1964,18.3
1965,11.4
1966,18.9
1967,20.3
1968,9.9
1969,10.2
1970,11.5
1971,5.3
1972,19.5
1973,20.1
1974,13.5
1975,13.1
1976,20.7
1977,13.2
1978,17.4
1979,26.0
1980,11.3
1981,26.1
1982,19.4
1983,21.9
1984,23.0
1985,9.7
1986,15.7
1987,12.2
1988,19.6
1989,22.5
1990,14.8
1991,11.2
1992,19.8
1993,18.9
1994,14.4
1995,20.3
1996,17.3
1997,10.7
1998,12.7
1999,19.2
2000,18.3
2001,12.1
2002,11.8
2003,18.2
2004,15.3
2005,27.9
2006,18.1
2007,17.3
2008,13.4
2009,19.1
2010,16.7
2011,19.6
2012,15.3
2013,16.3
2014,
2015,
2016,23.9
2017,18.9
2018,17.1
