,TMAX
1881,0.7
1882,
1883,
1884,0.3
1885,-0.7
1886,-0.7
1887,-0.6
1888,1.5
1889,2.1
1890,1.9
1891,-17.3
1892,0.8
1893,-7.2
1894,-2.3
1895,-4.5
1896,0.3
1897,-16.2
1898,-0.1
1899,-11.4
1900,-11.7
1901,0.3
1902,-5.4
1903,
1904,-6.8
1905,-13.0
1906,-2.3
1907,
1908,-3.2
1909,-1.2
1910,-12.8
1911,-3.8
1912,-18.6
1913,1.8
1914,-10.9
1915,-16.8
1916,0.4
1917,-4.0
1918,-16.5
1919,2.4
1920,-0.8
1921,3.4
1922,-2.2
1923,-1.1
1924,-5.2
1925,0.6
1926,-12.6
1927,-9.2
1928,-1.0
1929,-1.1
1930,3.6
1931,-0.8
1932,3.6
1933,-2.9
1934,-0.2
1935,-19.7
1936,-2.4
1937,2.9
1938,-6.1
1939,-2.5
1940,-16.9
1941,1.2
1942,-8.0
1943,-10.2
1944,2.3
1945,-2.8
1946,1.0
1947,-6.8
1948,-7.5
1949,3.2
1950,-23.2
1951,-2.7
1952,3.0
1953,-12.3
1954,-1.2
1955,-2.0
1956,-0.1
1957,1.7
1958,-20.7
1959,0.2
1960,-0.9
1961,2.6
1962,0.7
1963,-4.0
1964,0.4
1965,-8.7
1966,-13.2
1967,-4.0
1968,-17.9
1969,-12.7
1970,1.7
1971,-4.5
1972,-4.2
1973,0.3
1974,-0.3
1975,-2.2
1976,-6.1
1977,1.0
1978,-5.4
1979,-8.0
1980,-2.3
1981,-15.1
1982,-16.7
1983,6.0
1984,1.6
1985,-13.5
1986,-2.3
1987,-25.8
1988,0.4
1989,1.8
1990,-0.5
1991,2.4
1992,-1.5
1993,2.6
1994,-4.0
1995,-7.7
1996,-4.4
1997,-0.2
1998,2.4
1999,0.0
2000,2.5
2001,1.6
2002,-11.2
2003,-16.7
2004,-6.3
2005,2.7
2006,-0.9
2007,1.2
2008,-5.5
2009,0.2
2010,-7.2
2011,-3.9
2012,2.4
2013,-2.7
2014,
2015,
2016,-20.3
2017,
2018,
2019,-0.5
