,TMAX
1881,7.1
1882,
1883,9.6
1884,2.4
1885,1.6
1886,7.3
1887,6.3
1888,1.5
1889,8.7
1890,10.1
1891,9.1
1892,2.6
1893,0.7
1894,0.8
1895,10.2
1896,10.6
1897,9.9
1898,1.4
1899,6.0
1900,5.7
1901,8.7
1902,6.4
1903,
1904,8.0
1905,4.5
1906,11.2
1907,11.0
1908,3.6
1909,14.4
1910,9.5
1911,6.7
1912,3.4
1913,4.3
1914,4.8
1915,3.5
1916,2.0
1917,6.7
1918,13.2
1919,5.9
1920,3.8
1921,9.9
1922,3.6
1923,7.5
1924,4.5
1925,0.2
1926,1.5
1927,6.1
1928,1.4
1929,4.2
1930,13.2
1931,4.6
1932,8.3
1933,9.3
1934,8.7
1935,8.0
1936,2.1
1937,10.2
1938,10.6
1939,3.6
1940,6.7
1941,1.7
1942,3.6
1943,10.2
1944,14.9
1945,1.2
1946,3.5
1947,5.1
1948,12.1
1949,13.4
1950,8.5
1951,7.9
1952,3.5
1953,10.5
1954,5.5
1955,7.1
1956,8.2
1957,8.8
1958,6.5
1959,10.9
1960,2.0
1961,11.2
1962,7.5
1963,8.0
1964,9.0
1965,2.8
1966,10.3
1967,8.8
1968,4.2
1969,8.6
1970,10.3
1971,7.1
1972,4.5
1973,1.8
1974,4.0
1975,7.5
1976,2.1
1977,8.3
1978,8.9
1979,5.7
1980,11.6
1981,6.2
1982,0.7
1983,10.1
1984,10.0
1985,8.3
1986,9.4
1987,9.6
1988,7.2
1989,7.7
1990,10.2
1991,10.4
1992,3.5
1993,8.6
1994,2.6
1995,10.6
1996,8.5
1997,10.9
1998,8.8
1999,4.6
2000,10.1
2001,9.3
2002,1.1
2003,5.5
2004,6.3
2005,6.9
2006,5.1
2007,7.5
2008,9.3
2009,5.0
2010,7.4
2011,6.7
2012,14.6
2013,4.6
2014,
2015,8.1
2016,5.9
2017,7.9
2018,11.0
