,TMAX
1881,-1.8
1882,
1883,
1884,-7.9
1885,-6.1
1886,-3.8
1887,-8.0
1888,-12.7
1889,-2.5
1890,1.4
1891,4.3
1892,-1.9
1893,-4.4
1894,-2.0
1895,-1.0
1896,-1.1
1897,-2.1
1898,-4.1
1899,1.5
1900,4.7
1901,2.7
1902,-10.3
1903,
1904,-3.1
1905,2.3
1906,-4.6
1907,-1.8
1908,-10.7
1909,-6.5
1910,5.4
1911,-0.1
1912,-1.5
1913,2.0
1914,-3.8
1915,-2.8
1916,-3.1
1917,-6.4
1918,-0.8
1919,2.1
1920,1.4
1921,2.3
1922,-1.1
1923,-3.2
1924,-1.6
1925,-5.1
1926,1.6
1927,4.4
1928,-4.0
1929,-8.0
1930,3.1
1931,-2.8
1932,-13.9
1933,1.0
1934,-6.2
1935,5.4
1936,1.9
1937,-8.1
1938,-2.4
1939,-2.5
1940,-7.1
1941,-0.7
1942,-7.4
1943,3.6
1944,-2.4
1945,-9.0
1946,-1.3
1947,-7.9
1948,-4.2
1949,-2.6
1950,-0.7
1951,-6.1
1952,2.7
1953,-1.6
1954,-0.4
1955,-8.0
1956,-1.7
1957,2.5
1958,0.8
1959,3.2
1960,1.2
1961,4.1
1962,-1.4
1963,-2.8
1964,-0.6
1965,-2.4
1966,-7.7
1967,5.3
1968,-4.0
1969,-2.4
1970,2.8
1971,-5.8
1972,-7.2
1973,1.5
1974,4.6
1975,2.4
1976,-3.1
1977,2.9
1978,2.0
1979,2.2
1980,-1.3
1981,-5.2
1982,-0.1
1983,-4.6
1984,4.6
1985,-0.2
1986,0.4
1987,1.4
1988,-0.2
1989,6.8
1990,-0.2
1991,2.4
1992,8.0
1993,-1.2
1994,4.4
1995,5.9
1996,1.4
1997,3.0
1998,-6.1
1999,-1.1
2000,-2.9
2001,3.7
2002,0.6
2003,3.9
2004,2.9
2005,-7.4
2006,-5.6
2007,3.1
2008,9.8
2009,1.4
2010,3.8
2011,1.2
2012,2.2
2013,-5.4
2014,
2015,
2016,4.4
2017,
2018,
2019,0.2
