,TMAX
1881,-1.3
1882,
1883,3.3
1884,-6.1
1885,-5.8
1886,4.3
1887,0.2
1888,5.1
1889,5.5
1890,-9.3
1891,-9.6
1892,-2.5
1893,1.7
1894,1.6
1895,1.3
1896,-1.1
1897,3.8
1898,5.7
1899,4.8
1900,-2.2
1901,0.2
1902,0.7
1903,
1904,4.7
1905,0.9
1906,5.8
1907,-5.1
1908,0.9
1909,-4.3
1910,3.4
1911,6.7
1912,0.9
1913,5.6
1914,-1.2
1915,0.5
1916,-3.3
1917,0.7
1918,-1.4
1919,-8.2
1920,2.9
1921,-8.0
1922,-2.9
1923,4.9
1924,-0.1
1925,3.5
1926,3.2
1927,-4.5
1928,3.9
1929,2.5
1930,-2.6
1931,-1.3
1932,-1.7
1933,-1.4
1934,2.2
1935,-3.6
1936,1.4
1937,2.5
1938,5.5
1939,1.4
1940,6.1
1941,-4.5
1942,3.6
1943,1.6
1944,-7.1
1945,2.3
1946,-7.1
1947,-2.1
1948,3.1
1949,3.9
1950,-0.1
1951,2.0
1952,0.4
1953,3.8
1954,-3.2
1955,0.9
1956,-1.6
1957,2.4
1958,3.2
1959,-2.2
1960,-4.2
1961,0.4
1962,2.8
1963,7.7
1964,1.3
1965,-5.4
1966,1.0
1967,0.4
1968,-1.5
1969,3.2
1970,2.4
1971,-5.5
1972,2.4
1973,-1.5
1974,5.2
1975,0.6
1976,1.4
1977,0.6
1978,9.0
1979,5.8
1980,-0.2
1981,3.5
1982,5.7
1983,3.4
1984,-3.8
1985,-0.9
1986,4.3
1987,-3.3
1988,-7.5
1989,5.8
1990,0.3
1991,5.8
1992,3.4
1993,-11.7
1994,-0.7
1995,-4.3
1996,9.9
1997,-2.7
1998,-9.2
1999,-2.2
2000,4.6
2001,-3.3
2002,3.1
2003,1.6
2004,-2.9
2005,1.1
2006,5.5
2007,2.5
2008,0.3
2009,6.6
2010,2.4
2011,1.2
2012,5.3
2013,6.5
2014,-4.1
2015,
2016,
2017,2.1
