,TMAX
1881,24.9
1882,
1883,
1884,25.3
1885,24.1
1886,18.1
1887,16.3
1888,15.2
1889,21.0
1890,19.3
1891,20.3
1892,18.4
1893,24.6
1894,23.5
1895,17.4
1896,26.7
1897,18.4
1898,25.8
1899,26.3
1900,26.3
1901,19.9
1902,14.5
1903,24.0
1904,18.6
1905,17.5
1906,16.0
1907,26.4
1908,11.7
1909,19.7
1910,18.5
1911,20.4
1912,23.1
1913,25.6
1914,18.3
1915,25.7
1916,23.7
1917,31.6
1918,24.2
1919,19.4
1920,20.8
1921,13.2
1922,19.2
1923,19.4
1924,16.7
1925,18.5
1926,20.1
1927,17.1
1928,17.3
1929,22.3
1930,17.2
1931,17.1
1932,18.8
1933,17.9
1934,23.8
1935,19.2
1936,19.4
1937,31.0
1938,16.5
1939,23.1
1940,25.9
1941,21.1
1942,24.0
1943,15.3
1944,25.0
1945,23.2
1946,20.3
1947,25.1
1948,21.3
1949,24.1
1950,23.1
1951,18.6
1952,23.5
1953,20.4
1954,20.6
1955,19.0
1956,20.5
1957,18.3
1958,25.1
1959,14.2
1960,26.8
1961,18.3
1962,14.2
1963,21.7
1964,20.0
1965,16.3
1966,17.5
1967,18.9
1968,19.3
1969,18.6
1970,27.2
1971,19.1
1972,32.0
1973,19.6
1974,23.0
1975,19.2
1976,19.2
1977,22.7
1978,22.4
1979,23.4
1980,18.5
1981,29.5
1982,15.6
1983,22.0
1984,16.5
1985,12.4
1986,20.4
1987,17.1
1988,27.5
1989,23.1
1990,20.9
1991,22.5
1992,22.6
1993,19.5
1994,24.6
1995,15.7
1996,19.9
1997,25.9
1998,18.3
1999,24.8
2000,20.6
2001,23.2
2002,20.3
2003,17.2
2004,17.2
2005,20.3
2006,20.1
2007,20.7
2008,22.4
2009,20.6
2010,27.9
2011,29.9
2012,19.2
2013,22.5
2014,
2015,
2016,27.5
2017,17.5
2018,
