,TMAX
1881,14.7
1882,
1883,
1884,15.8
1885,15.0
1886,16.8
1887,15.3
1888,15.3
1889,25.5
1890,13.0
1891,16.5
1892,12.0
1893,17.0
1894,16.4
1895,13.4
1896,16.7
1897,26.1
1898,20.0
1899,9.5
1900,19.2
1901,18.0
1902,13.4
1903,26.8
1904,15.8
1905,21.6
1906,15.7
1907,12.5
1908,15.3
1909,15.4
1910,15.6
1911,16.8
1912,12.4
1913,19.3
1914,20.0
1915,14.0
1916,16.3
1917,19.7
1918,11.4
1919,20.7
1920,14.5
1921,25.7
1922,13.7
1923,8.2
1924,18.7
1925,16.7
1926,25.0
1927,22.1
1928,10.5
1929,11.5
1930,7.0
1931,26.3
1932,12.8
1933,13.7
1934,15.0
1935,7.4
1936,28.2
1937,14.5
1938,16.1
1939,13.1
1940,13.7
1941,11.6
1942,19.5
1943,20.9
1944,11.2
1945,24.6
1946,18.5
1947,13.1
1948,27.5
1949,16.7
1950,11.7
1951,13.2
1952,20.6
1953,27.9
1954,12.7
1955,16.9
1956,23.9
1957,11.5
1958,18.3
1959,18.5
1960,25.1
1961,25.9
1962,11.8
1963,12.7
1964,15.2
1965,19.0
1966,18.8
1967,17.6
1968,19.2
1969,19.5
1970,18.6
1971,24.7
1972,17.6
1973,26.5
1974,16.6
1975,13.0
1976,11.8
1977,16.4
1978,16.9
1979,24.4
1980,27.0
1981,21.0
1982,21.6
1983,19.5
1984,22.4
1985,19.6
1986,22.0
1987,20.0
1988,13.8
1989,19.2
1990,20.5
1991,14.3
1992,20.5
1993,18.2
1994,15.9
1995,29.1
1996,25.5
1997,17.3
1998,13.3
1999,20.5
2000,19.2
2001,17.0
2002,22.1
2003,10.0
2004,16.9
2005,15.6
2006,15.9
2007,15.5
2008,18.6
2009,20.9
2010,18.7
2011,27.0
2012,14.8
2013,29.2
2014,
2015,21.1
2016,
2017,7.8
2018,
